source,target,source_UniProtKB-Swiss-Prot,target_UniProtKB-Swiss-Prot
ENSG00000000005,ENSG00000061656,Q9H2S6,Q9NPE6
ENSG00000000005,ENSG00000099968,Q9H2S6,Q9BXK5
ENSG00000000005,ENSG00000104765,Q9H2S6,O60238
ENSG00000000005,ENSG00000105383,Q9H2S6,P20138
ENSG00000000005,ENSG00000114455,Q9H2S6,Q9UM44
ENSG00000000005,ENSG00000124103,Q9H2S6,Q5JX71
ENSG00000000005,ENSG00000139637,Q9H2S6,Q9HB07
ENSG00000000005,ENSG00000150337,Q9H2S6,P12314
ENSG00000000005,ENSG00000157613,Q9H2S6,Q96BA8
ENSG00000000005,ENSG00000163472,Q9H2S6,Q9BSE2
ENSG00000000005,ENSG00000167741,Q9H2S6,Q6P531
ENSG00000000005,ENSG00000169379,Q9H2S6,Q3SXY8
ENSG00000000005,ENSG00000176171,Q9H2S6,Q12983
ENSG00000000005,ENSG00000181754,Q9H2S6,Q86WK6
ENSG00000000005,ENSG00000184988,Q9H2S6,Q96A25
ENSG00000000005,ENSG00000242019,Q9H2S6,ENSG00000242019
ENSG00000000419,ENSG00000106511,O60762,P50222
ENSG00000000457,ENSG00000034713,Q8IZE3,P60520
ENSG00000000457,ENSG00000100348,Q8IZE3,Q99757
ENSG00000000457,ENSG00000139112,Q8IZE3,Q9H0R8
ENSG00000000457,ENSG00000198420,Q8IZE3,Q9Y4C2
ENSG00000000460,ENSG00000149380,Q9NSG2,Q7Z4N8
ENSG00000001036,ENSG00000085741,Q9BTY2,O96014
ENSG00000001036,ENSG00000105576,Q9BTY2,O14787
ENSG00000001036,ENSG00000105991,Q9BTY2,ENSG00000105991
ENSG00000001036,ENSG00000108256,Q9BTY2,Q7Z417
ENSG00000001036,ENSG00000127445,Q9BTY2,Q13526
ENSG00000001036,ENSG00000138867,Q9BTY2,Q96NT3
ENSG00000001036,ENSG00000186226,Q9BTY2,Q5T753
ENSG00000001036,ENSG00000186844,Q9BTY2,Q5T7P2
ENSG00000001036,ENSG00000187170,Q9BTY2,Q5TA78
ENSG00000001036,ENSG00000188730,Q9BTY2,Q2TAL6
ENSG00000001036,ENSG00000196224,Q9BTY2,Q6L8H2
ENSG00000001036,ENSG00000196734,Q9BTY2,Q5T7P3
ENSG00000001036,ENSG00000205867,Q9BTY2,Q701N4
ENSG00000001036,ENSG00000213416,Q9BTY2,Q9BQ66
ENSG00000001036,ENSG00000215455,Q9BTY2,P60331
ENSG00000001167,ENSG00000066136,P23511,Q13952
ENSG00000001167,ENSG00000101266,P23511,P68400
ENSG00000001167,ENSG00000120837,P23511,P25208
ENSG00000001167,ENSG00000124788,P23511,P54253
ENSG00000001167,ENSG00000135482,P23511,Q96K80
ENSG00000001167,ENSG00000136451,P23511,Q14119
ENSG00000001167,ENSG00000143190,P23511,P14859
ENSG00000001167,ENSG00000143442,P23511,Q7Z3K3
ENSG00000001167,ENSG00000146963,P23511,Q9Y383
ENSG00000001167,ENSG00000161202,P23511,Q92997
ENSG00000001167,ENSG00000165417,P23511,P52655
ENSG00000001167,ENSG00000172530,P23511,Q8N9N5
ENSG00000001167,ENSG00000198218,P23511,Q2TAL8
ENSG00000001167,ENSG00000198258,P23511,Q9BZL1
ENSG00000001167,ENSG00000198420,P23511,Q9Y4C2
ENSG00000001461,ENSG00000101363,Q6P499,Q9NQG1
ENSG00000001461,ENSG00000105369,Q6P499,P11912
ENSG00000001461,ENSG00000137210,Q6P499,Q9NUH8
ENSG00000001461,ENSG00000158813,Q6P499,Q92838
ENSG00000001461,ENSG00000160131,Q6P499,Q3ZAQ7
ENSG00000001461,ENSG00000164294,Q6P499,Q8TED1
ENSG00000001461,ENSG00000168958,Q6P499,Q9GZY8
ENSG00000001461,ENSG00000185883,Q6P499,P27449
ENSG00000001461,ENSG00000265107,Q6P499,P36382
ENSG00000001561,ENSG00000105677,Q9Y6X5,Q9BVK8
ENSG00000001561,ENSG00000139644,Q9Y6X5,P55061
ENSG00000001631,ENSG00000078140,O00522,P61086
ENSG00000002016,ENSG00000002016,P43351,P43351
ENSG00000002016,ENSG00000005102,P43351,P50221
ENSG00000002016,ENSG00000066136,P43351,Q13952
ENSG00000002016,ENSG00000102753,P43351,O00505
ENSG00000002016,ENSG00000106511,P43351,P50222
ENSG00000002016,ENSG00000173846,P43351,Q9H4B4
ENSG00000002016,ENSG00000196092,P43351,Q02548
ENSG00000002016,ENSG00000196911,P43351,O15131
ENSG00000002016,ENSG00000272886,P43351,Q9NPI6
ENSG00000002016,ENSG00000278023,P43351,Q8NG50
ENSG00000002330,ENSG00000077522,Q92934,P35609
ENSG00000002330,ENSG00000094796,Q92934,Q15323
ENSG00000002330,ENSG00000129473,Q92934,Q92843
ENSG00000002330,ENSG00000171552,Q92934,Q07817
ENSG00000002549,ENSG00000065029,P28838,P36508
ENSG00000002549,ENSG00000084764,P28838,Q9UPY8
ENSG00000002549,ENSG00000094916,P28838,P45973
ENSG00000002549,ENSG00000117461,P28838,Q92569
ENSG00000002549,ENSG00000122565,P28838,Q13185
ENSG00000002549,ENSG00000150773,P28838,Q8WWB5
ENSG00000002549,ENSG00000158773,P28838,P22415
ENSG00000002549,ENSG00000159840,P28838,Q15942
ENSG00000002549,ENSG00000172530,P28838,Q8N9N5
ENSG00000002726,ENSG00000135482,P19801,Q96K80
ENSG00000002726,ENSG00000143442,P19801,Q7Z3K3
ENSG00000002726,ENSG00000151923,P19801,Q01085
ENSG00000002726,ENSG00000156795,P19801,Q96HA8
ENSG00000002726,ENSG00000160973,P19801,O75593
ENSG00000002726,ENSG00000164438,P19801,O43711
ENSG00000002726,ENSG00000166831,P19801,Q6ZRY4
ENSG00000002726,ENSG00000183283,P19801,Q15038
ENSG00000002726,ENSG00000183640,P19801,Q8IUC2
ENSG00000002746,ENSG00000148704,Q76N89,Q5SQQ9
ENSG00000002822,ENSG00000012779,Q9Y6D9,P09917
ENSG00000002822,ENSG00000048540,Q9Y6D9,Q8TAP4
ENSG00000002822,ENSG00000057663,Q9Y6D9,Q9H1Y0
ENSG00000002822,ENSG00000068394,Q9Y6D9,Q92917
ENSG00000002822,ENSG00000072201,Q9Y6D9,Q8TBB1
ENSG00000002822,ENSG00000078114,Q9Y6D9,O76041
ENSG00000002822,ENSG00000083535,Q9Y6D9,Q8WXW3
ENSG00000002822,ENSG00000088727,Q9Y6D9,Q9HAQ2
ENSG00000002822,ENSG00000103528,Q9Y6D9,Q9BSW7
ENSG00000002822,ENSG00000105401,Q9Y6D9,Q16543
ENSG00000002822,ENSG00000105617,Q9Y6D9,Q96BZ8
ENSG00000002822,ENSG00000112130,Q9Y6D9,O76064
ENSG00000002822,ENSG00000117266,Q9Y6D9,Q07002
