ID,Ontology Source,Term,GOLevels,GOGroups,Nr. Genes,% Associated Genes,Term PValue,Term PValue Corrected with Bonferroni step down,Group PValue,Group PValue Corrected with Bonferroni step down,Associated Genes Found,All Associated Genes,OverViewTerm,Genes Cluster #1,%Genes Cluster #1,Genes Cluster #2,%Genes Cluster #2
GO:0000079,GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00,regulation of cyclin-dependent protein serine/threonine kinase activity,"[5, 6, 7, 8, 9, 10, 11]",[Group25],4,10.526316,1.8881239670898484E-4,0.03077642066356453,{Group25=2.971313981736144E-15},{Group25=6.239759361645902E-14},"[AKT1, CCNB1, EGFR, PTEN]","[ADAM17, AKT1, APC, BCCIP, BLM, CCNB1, CCND1, CCND2, CCND3, CCNY, CDK5RAP1, CDKN1B, CDKN2A, CDKN2B, CDKN2C, CDKN2D, EGFR, GTPBP4, HEXIM1, HEXIM2, HHEX, INCA1, LATS1, LATS2, MEN1, MYOCD, NR2F2, PDGFB, PKD1, PKD2, PLK1, PRKD2, PROC, PROX1, PSMD10, PTEN, RGCC, TFAP4]",FALSE,"[AKT1, CCNB1, EGFR, PTEN]",72.77777749043959,[PTEN],27.222220048298663
GO:0000082,GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00,G1/S transition of mitotic cell cycle,"[5, 6]","[Group09, Group22, Group25]",9,7.5,2.857511826174252E-7,7.943882876764421E-5,"{Group09=2.889597262860973E-7, Group22=2.847544374645309E-12, Group25=2.971313981736144E-15}","{Group09=1.7337583577165838E-6, Group22=4.8408254368970256E-11, Group25=6.239759361645902E-14}","[AKT1, CDKN1A, DDX3X, EGFR, MDM2, MYC, PPP2CA, PTEN, TP53]","[ACVR1, ACVR1B, ADAM17, ADAMTS1, AIF1, AKT1, AMBRA1, ANKRD17, APC, APLP2, APPL1, APPL2, BACH1, BRD4, BRD7, BRIP1, CACUL1, CASP2, CCL2, CCND1, CCND2, CCNE1, CCNH, CDC73, CDK2AP2, CDK4, CDK7, CDKN1A, CDKN1B, CDKN2A, CDKN2C, CDKN2D, CENPJ, CFH, CPSF3, CRADD, CRLF3, DACT1, DCUN1D3, DDX3X, DLG1, E2F1, E2F3, E2F7, EGFR, EIF4E, EIF4EBP1, EIF4G1, FAM107A, FBXO31, FGF10, FHL1, GPNMB, HINFP, HPLH1, HYAL1, ID2, INHBA, INO80, JADE1, KANK2, KIF14, KLF11, KLF4, KMT2E, LATS2, LSM10, LSM11, MBLAC1, MDM2, MNAT1, MUC1, MYC, NACC2, NPAT, PHF8, PIDD1, PIM2, PKD1, PKD2, PLK2, PLK3, PLK5, POLE, POLR1B, PPP2CA, PRAP1, PRKD2, PRKDC, PROC, PTEN, PTPN6, RCC1, RFWD3, RGCC, RPA2, RPL26, RPS27L, RPS6KB1, RPTOR, RRM1, RRM2, SASS6, SDE2, SLFN11, SPAM1, SPDYA, STIL, STOX1, TFDP1, TFDP3, TM4SF5, TMEM14B, TP53, UBE2E2, USP37, WAC, ZNF324, ZNF655, ZPR1]",TRUE,"[AKT1, CDKN1A, DDX3X, EGFR, MDM2, MYC, PPP2CA, PTEN, TP53]",66.7232565194156,"[DDX3X, PTEN, TP53]",33.27673609432429
GO:0000122,GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00,negative regulation of transcription by RNA polymerase II,"[7, 8, 9, 10, 11, 12]","[Group08, Group18]",26,5.5201697,3.4053966572787986E-16,1.0692945503855428E-13,"{Group08=9.529355230436837E-22, Group18=3.79235323566993E-23}","{Group08=2.3823388076092093E-20, Group18=9.860118412741818E-22}","[BCOR, CREBBP, EID1, EP300, ESR1, GATA3, GLI2, GLI3, HDAC1, HDAC5, HES1, ID1, JUN, MDM2, MEF2C, MYC, NOTCH1, POU5F1, PPARG, PTCH1, RELA, RXRA, SIRT1, SPI1, SUFU, TP53]","[ACVR2B, AEBP1, AKR1B1, ALX1, ANKRD2, APBB1, APBB2, AR, AREG, ARID5A, ARID5B, ASCL1, ASCL2, ATF3, ATN1, AURKB, BACH1, BAG3, BATF3, BCL11A, BCL6, BCOR, BEND3, BHLHE40, BHLHE41, BIN1, BMI1, BMP2, BMP4, BPTF, BRIP1, C1QBP, CALR, CBX2, CBX4, CBX5, CBX6, CBX7, CBX8, CC2D1A, CCND1, CDC73, CDX2, CGGBP1, CHD3, CHD8, CIITA, CIR1, CITED2, CNBP, CNOT1, CNOT2, COMMD3-BMI1, CPEB3, CREB3L1, CREBBP, CREM, CRY1, CRY2, CRYM, CTBP1, CTCF, CUX2, CXXC5, CYP27B1, DAB2, DAB2IP, DACH1, DACT1, DCAF1, DDIT3, DDX20, DDX5, DEAF1, DKK1, DLG1, DLX1, DLX4, DMAP1, DNAJA3, DNAJB1, DNMT3A, DNMT3B, DPEP2, DR1, DRAP1, DUSP22, DUSP26, DUSP28, E2F1, E2F6, E2F7, E2F8, E4F1, EDN1, EDNRB, EHMT2, EID1, ELANE, ELK3, ELK4, EN1, ENO1, EP300, EPC1, EPO, EPX, ERF, ESR1, ESR2, ESX1, ETF1, ETS2, ETV5, ETV6, ETV7, EZH2, EZR, FASLG, FBP1, FHL2, FLCN, FNIP1, FNIP2, FOXD3, FOXK1, FOXM1, FOXO3, FRK, FST, GADD45A, GATA1, GATA3, GATA6, GATD3, GFI1, GFI1B, GLI2, GLI3, GPS2, GTF2IRD1, GZF1, H1-5, HAND1, HDAC1, HDAC10, HDAC2, HDAC3, HDAC4, HDAC5, HDAC9, HDGF, HES1, HESX1, HEXIM1, HEXIM2, HEY1, HEY2, HEYL, HHEX, HIC1, HIF1AN, HIVEP1, HMBOX1, HMGA2, HMGB1, HMGB2, HNRNPU, HOXA7, HOXB13, HOXD9, HSF1, HSF4, HSPA1A, ID1, ID4, IFI16, IFI27, IGBP1, IKZF5, IL33, IL4, INSM1, IRF2BP1, IRF2BP2, IRF2BPL, IRF8, IRX1, IRX2, JAZF1, JDP2, JUN, JUND, KANK2, KAT5, KCNIP3, KDM1A, KLF11, KLF12, KLF2, KLF4, KLF7, KLF8, KMT5A, LARP7, LCOR, LINC-PINT, LOC654780, LOXL2, LRRFIP1, LYAR, MACROH2A1, MACROH2A2, MAD2L2, MAFK, MAGEA1, MAGEA2, MAX, MAZ, MBD2, MCPH1, MDM2, MDM4, MED25, MED9, MEF2A, MEF2C, MEN1, METTL13, MITF, MLX, MLXIPL, MNT, MRPL23, MSX2, MTDH, MXD1, MXI1, MYB, MYC, MZF1, NACC2, NCK1, NCOR1, NCOR2, NEDD4, NEUROG3, NFATC3, NFATC4, NFIC, NFIL3, NFIX, NFKB1, NFX1, NIPBL, NKAP, NKX2-1, NKX2-5, NKX6-3, NOC2L, NOP53, NOTCH1, NOTCH4, NR1D1, NR2C1, NR2C2, NR2F1, NR2F2, NR2F6, NR3C1, NR4A2, NRIP1, NUPR2, OTP, OTUD7B, PARP15, PARP9, PCGF2, PDE2A, PER3, PEX2, PHB1, PHF12, PHF6, PLK1, PLK3, POU5F1, POU5F1P3, POU5F1P4, POU6F1, PPARA, PPARG, PPID, PRDM1, PRDM16, PRDM2, PRDM5, PRDM6, PRKN, PROX1, PSEN1, PSMD10, PTCH1, PURA, RBM15, RBPJ, RELA, REST, RORC, RPL10, RPL15, RPL17, RPL23, RPS14, RREB1, RXRA, SALL1, SAP130, SAP30, SARS1, SATB1, SCAF4, SCAF8, SCRT1, SDCBP, SDR16C5, SEMA4D, SF3B3, SFPQ, SIN3A, SIRT1, SIRT2, SIRT7, SKI, SKIL, SLA2, SMAD3, SMAD7, SMIM44, SMYD2, SNAI1, SNAI2, SNW1, SOX11, SOX13, SOX18, SOX9, SP100, SP2, SPDEF, SPEN, SPI1, SREBF2, SSX1, SUDS3, SUFU, SUPT4H1, SUPT5H, SUV39H1, SUV39H2, TAF1, TAF3, TAF7, TAF9B, TBL1X, TBL1XR1, TBX2, TBX21, TBX22, TBX3, TCERG1, TCF21, TCF25, TCF3, TCF7L1, TCF7L2, TCFL5, TCP10L, TFAP2A, TFAP2B, TFAP2C, TFEC, TGIF1, TGIF2, THAP1, THAP11, THAP5, THAP7, THRA, TIMP1, TLE5, TNF, TP53, TPR, TRAF6, TRIB3, TRIM27, TRIM37, TRPS1, TWIST1, UBE2I, UBE2V1, UHRF1, URI1, USP2, UXT, VDR, VEGFA, VHL, VSX2, WFS1, WT1, WWC1, WWC2, WWC3, WWP2, YAP1, YEATS2, YWHAZ, YY1, ZBED2, ZBTB1, ZBTB16, ZBTB18, ZBTB2, ZBTB21, ZBTB32, ZBTB4, ZBTB5, ZBTB7A, ZBTB8A, ZEB1, ZEB2, ZFHX3, ZFP36, ZFPM1, ZFPM2, ZGPAT, ZHX1, ZHX2, ZKSCAN3, ZMYM5, ZNF133, ZNF136, ZNF140, ZNF141, ZNF148, ZNF174, ZNF175, ZNF202, ZNF205, ZNF217, ZNF219, ZNF224, ZNF239, ZNF263, ZNF268, ZNF281, ZNF350, ZNF366, ZNF451, ZNF469, ZNF512B, ZNF519P4, ZNF536, ZNF589, ZNF675, ZNF692, ZNF746, ZNF750, ZNF85]",FALSE,"[BCOR, CREBBP, EID1, EP300, ESR1, GATA3, GLI2, GLI3, HDAC1, HDAC5, HES1, ID1, JUN, MDM2, MEF2C, MYC, NOTCH1, POU5F1, PPARG, PTCH1, RELA, RXRA, SIRT1, SPI1, SUFU, TP53]",74.33435027903157,"[BCOR, CREBBP, GLI2, PTCH1, SUFU, TP53]",25.665645711180034
GO:0001216,GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00,DNA-binding transcription activator activity,"[7, 8, 9, 10, 11, 12, 13]","[Group08, Group21]",14,5.283019,1.0078459955568374E-8,2.9933026068038073E-6,"{Group08=9.529355230436837E-22, Group21=2.325907628493845E-20}","{Group08=2.3823388076092093E-20, Group21=5.582178308385228E-19}","[CEBPA, CREB1, ESR1, FOXO4, GATA3, JUN, MEF2C, MYC, MYOD1, RELA, SOX4, SP1, SPI1, TP53]","[AKR1B1, ALX1, AR, AREG, ASIC2, ATF1, ATF2, ATF3, ATF5, ATF6, ATF6B, BARX2, BNC1, BORCS8-MEF2B, CASZ1, CDC5L, CDX1, CDX4, CEBPA, CEBPE, CEBPG, CREB1, CREB3, CREB3L3, CREB3L4, CREBRF, CRX, CTCFL, DAND5, DBP, DDIT3, DUX1, DUX4, DUX4L1, DUX4L2, DUX5, E2F1, E2F2, E2F3, E2F4, E2F5, E4F1, EGR1, EGR2, EGR4, EHF, ELF1, ELF3, ELF4, ELK1, ELK3, ELK4, ELOF1, EPAS1, ERG, ESR1, ETS1, ETV1, ETV4, ETV5, FOSL2, FOXC1, FOXC2, FOXD2, FOXF1, FOXF2, FOXI1, FOXJ2, FOXJ3, FOXK2, FOXO1, FOXO4, GABPA, GARS1, GATA1, GATA3, GATA4, GC, GCM1, GDNF, GRHL1, GRHL2, GRHL3, GTF2I, GTF2IP4, HAND2, HHEX, HIF1A, HINFP, HLF, HNF4G, HOXA1, HOXA10, HOXA5, HOXA7, HOXB1, HOXB2, HOXB3, HOXB7, HOXC10, HOXC11, HOXC4, HOXD13, HOXD3, HOXD4, HOXD8, HSD17B4, HSF2, IKZF3, IRF1, IRF2, IRF3, IRF4, IRF5, JUN, KCNH4, KCNH8, KLF10, KLF15, KLF4, KLF5, KLF6, KLF7, LEF1, LHX3, LHX4, LITAF, LOC107987484, LOC107987485, LOC107987486, LOC107987487, MAFF, MEF2A, MEF2B, MEF2C, MEIS2, MELTF, MEOX2, MITF, MLXIP, MTF1, MYB, MYBL1, MYBL2, MYC, MYCN, MYOD1, MYOG, MYT1, MZF1, NEUROD1, NFAT5, NFATC3, NFE2L1, NFIA, NFIB, NFIC, NFKB1, NFKB2, NFYB, NHLH1, NKRF, NKX2-5, NKX2-6, NKX2-8, NKX6-3, NPAS4, NR1H2, NR1H4, NR1I2, NR1I3, NR2C2, NR2E3, NR3C1, NR4A3, NRF1, NRL, ONECUT2, OTX1, OTX2, PBX2, PBX2P1, PGR, PHOX2A, PHOX2B, PLAG1, PLAGL1, PLAGL2, PLSCR1, POU2F3, POU4F2, POU4F3, PPARA, PRDM2, PRKRA, PRRX1, PSG1, RAX, RAX2, RBPJ, REL, RELA, RFX4, RFX5, RFX6, RFXANK, RFXAP, RREB1, RUNX1, RXRB, SALL2, SATB2, SCX, SHOX, SIX1, SMAD1, SMAD2, SMAD3, SMAD4, SMIM44, SOX18, SOX4, SOX9, SP1, SPI1, SPIB, SREBF1, SRF, STAT3, STAT5B, STAT6, TBX3, TCF12, TCF3, TCF7L1, TFAP2A, TFAP2B, TFAP2C, TFAP4, TFDP1, TFDP2, TLX2, TP53, TP73, UBP1, USF3, VENTX, VEZF1, WT1, YY1, YY2, ZBED1, ZBTB17, ZFX, ZIC3, ZNF143, ZNF175, ZNF24, ZNF300, ZNF341, ZNF395, ZNF639, ZNF750, ZNF76, ZSCAN21]",FALSE,"[CEBPA, CREB1, ESR1, FOXO4, GATA3, JUN, MEF2C, MYC, MYOD1, RELA, SOX4, SP1, SPI1, TP53]",82.38993698330448,"[CEBPA, TP53]",17.610061529876077
GO:0001217,GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00,DNA-binding transcription repressor activity,"[7, 8, 9, 10, 11, 12, 13]",[Group21],7,4.605263,1.5131771341439745E-4,0.025421375853618772,{Group21=2.325907628493845E-20},{Group21=5.582178308385228E-19},"[GATA3, JUN, MYC, POU5F1, RELA, SPI1, TP53]","[AEBP1, ASCL1, ASCL2, ATF3, BACH1, BATF3, BCL11A, BCL6, BHLHE40, BHLHE41, BRIP1, CC2D1A, CDX2, CREB3L1, CREM, CTCF, DACH1, DEAF1, DLX4, E2F6, E2F8, E4F1, ELK3, EN1, ENO1, ERF, ESX1, ETF1, ETS2, ETV6, ETV7, FOXD3, FOXK1, FOXO3, GATA3, GFI1, GTF2IRD1, GZF1, HAND1, HESX1, HEYL, HHEX, HIC1, HOXB13, HOXD9, HSF1, IKZF5, INSM1, IRF8, IRX1, IRX2, JDP2, JUN, KCNIP3, KLF12, KLF8, LRRFIP1, MAFK, MAX, MLX, MLXIPL, MNT, MXD1, MXI1, MYC, MZF1, NACC2, NEUROG3, NFATC3, NFATC4, NFIL3, NFKB1, NFX1, NKX6-3, NR1D1, NR2F1, NR3C1, OTP, POU5F1, POU5F1P3, POU5F1P4, POU6F1, PPARA, PRDM1, PRDM16, PRDM2, PRDM5, PROX1, RARA, RELA, REST, RORC, SATB1, SCRT1, SKI, SKIL, SMAD3, SNAI1, SNAI2, SOX13, SP2, SPI1, SREBF2, TBX2, TBX21, TBX3, TCF21, TCF3, TCF7L1, TCFL5, TFAP2A, TFAP2C, TFEC, TGIF1, THAP1, THAP11, TP53, TRPS1, VSX2, YY1, ZBED2, ZBTB16, ZBTB18, ZBTB2, ZBTB21, ZBTB32, ZBTB4, ZBTB5, ZBTB8A, ZEB1, ZEB2, ZFHX3, ZGPAT, ZKSCAN3, ZNF140, ZNF148, ZNF175, ZNF202, ZNF217, ZNF219, ZNF224, ZNF239, ZNF263, ZNF281, ZNF350, ZNF512B, ZNF536, ZNF589, ZNF692, ZNF746, ZNF750, ZNF85]",FALSE,"[GATA3, JUN, MYC, POU5F1, RELA, SPI1, TP53]",82.38993397041915,[TP53],17.610060885900634
GO:0001228,GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00,"DNA-binding transcription activator activity, RNA polymerase II-specific","[8, 9, 10, 11, 12, 13, 14]","[Group08, Group21]",13,5.019305,6.585767651614836E-8,1.890115316013458E-5,"{Group08=9.529355230436837E-22, Group21=2.325907628493845E-20}","{Group08=2.3823388076092093E-20, Group21=5.582178308385228E-19}","[CEBPA, CREB1, ESR1, FOXO4, GATA3, JUN, MEF2C, MYC, MYOD1, RELA, SOX4, SP1, TP53]","[AKR1B1, ALX1, AR, AREG, ATF1, ATF2, ATF3, ATF5, ATF6, ATF6B, BARX2, BORCS8-MEF2B, CASZ1, CDC5L, CDX1, CDX4, CEBPA, CEBPE, CEBPG, CREB1, CREB3, CREB3L3, CREB3L4, CREBRF, CRX, CTCFL, DAND5, DBP, DDIT3, DUX1, DUX4, DUX4L1, DUX4L2, DUX5, E2F2, E2F3, E2F4, E4F1, EGR1, EGR2, EGR4, EHF, ELF1, ELF3, ELF4, ELK1, ELK3, ELK4, ELOF1, EPAS1, ERG, ESR1, ETS1, ETV1, ETV4, ETV5, FOSL2, FOXC1, FOXC2, FOXD2, FOXF1, FOXF2, FOXI1, FOXJ2, FOXJ3, FOXK2, FOXO1, FOXO4, GABPA, GARS1, GATA1, GATA3, GATA4, GC, GCM1, GDNF, GRHL1, GRHL2, GRHL3, GTF2I, GTF2IP4, HAND2, HHEX, HIF1A, HINFP, HLF, HNF4G, HOXA1, HOXA10, HOXA5, HOXA7, HOXB1, HOXB2, HOXB3, HOXB7, HOXC10, HOXC11, HOXC4, HOXD13, HOXD3, HOXD4, HOXD8, HSD17B4, HSF2, IKZF3, IRF1, IRF2, IRF3, IRF4, IRF5, JUN, KCNH4, KCNH8, KLF10, KLF15, KLF4, KLF5, KLF6, KLF7, LEF1, LHX3, LHX4, LITAF, LOC107987484, LOC107987485, LOC107987486, LOC107987487, MAFF, MEF2A, MEF2B, MEF2C, MEIS2, MELTF, MEOX2, MITF, MLXIP, MTF1, MYB, MYBL1, MYBL2, MYC, MYCN, MYOD1, MYOG, MYT1, MZF1, NEUROD1, NFAT5, NFATC3, NFE2L1, NFIA, NFIB, NFIC, NFKB1, NFKB2, NFYB, NHLH1, NKRF, NKX2-5, NKX2-6, NKX2-8, NKX6-3, NPAS4, NR1H2, NR1H4, NR1I2, NR1I3, NR2C2, NR2E3, NR3C1, NR4A3, NRF1, NRL, ONECUT2, OTX1, OTX2, PBX2, PBX2P1, PGR, PHOX2A, PHOX2B, PLAG1, PLAGL1, PLAGL2, PLSCR1, POU2F3, POU4F2, POU4F3, PPARA, PRDM2, PRKRA, PRRX1, PSG1, RAX, RAX2, RBPJ, REL, RELA, RFX4, RFX5, RFX6, RFXANK, RFXAP, RREB1, RUNX1, RXRB, SALL2, SATB2, SCX, SHOX, SIX1, SMAD1, SMAD2, SMAD3, SMAD4, SMIM44, SOX18, SOX4, SOX9, SP1, SPIB, SREBF1, SRF, STAT3, STAT5B, STAT6, TBX3, TCF12, TCF3, TCF7L1, TFAP2A, TFAP2B, TFAP2C, TFAP4, TFDP1, TFDP2, TLX2, TP53, TP73, UBP1, USF3, VENTX, VEZF1, WT1, YY1, YY2, ZBED1, ZBTB17, ZFX, ZIC3, ZNF143, ZNF175, ZNF24, ZNF300, ZNF395, ZNF639, ZNF750, ZNF76, ZSCAN21]",FALSE,"[CEBPA, CREB1, ESR1, FOXO4, GATA3, JUN, MEF2C, MYC, MYOD1, RELA, SOX4, SP1, TP53]",81.28878372530048,"[CEBPA, TP53]",18.711215972649427
GO:0001558,GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00,regulation of cell growth,"[3, 4, 5]","[Group20, Group22, Group25]",8,4.0,1.3397929949413235E-4,0.023044439512990764,"{Group20=2.58751377962497E-10, Group22=2.847544374645309E-12, Group25=2.971313981736144E-15}","{Group20=3.105016535549964E-9, Group22=4.8408254368970256E-11, Group25=6.239759361645902E-14}","[AKT1, CDC42, CDKN1A, DDX3X, EGFR, SIRT1, SMARCA4, TP53]","[ABL1, ACVR1B, ACVRL1, ADAM10, ADAM15, ADAM17, AKT1, ARMC12, ATAD3A, BAP1, BCL2, BCL6, BDNF, BDNF-AS, BMP10, BMPR2, BRAT1, BST2, CAPRIN2, CCAR2, CCDC85B, CCN3, CDA, CDC42, CDHR2, CDK11A, CDK11B, CDKN1A, CDKN1B, CDKN2A, CDKN2AIP, CDKN2C, CDKN2D, CEP43, CFH, CPNE5, CPNE6, CPNE9, CRLF3, CSNK2A1, CSNK2A2, CSNK2A3, CXCL16, CYP27B1, DACT3, DCBLD2, DCUN1D3, DCUN1D5, DDX3X, DDX49, DERL2, DNAJB2, DSCAM, EDN1, EGFR, EI24, EIF4G1, EIF4G2, ENO1, ENPP1, ERBB2, EXOSC2, EXOSC4, EXOSC9, FAM107A, FBP1, FHL1, FLCN, FRZB, FXN, GDF2, GNG4, GOLGA4, H1-5, H3-3A, H3-3B, H3-5, HDGFL2, HNF1A, HNF4A, HPLH1, HPN, HRG, HSPA1A, HSPA1B, HYAL1, HYAL2, IGF1, ING4, ING5, INHBA, INO80, IP6K2, ITSN2, JADE1, KAT7, KIAA0319, KIF14, KLHL22, LAMTOR1, LAMTOR2, LGI1, MACF1, MAD2L2, MAGI1, MAPT, MEAF6, MELTF, MINAR1, MMP14, MSX1, MT3, MTOR, MUL1, MYL2, N6AMT1, NAIF1, NCBP1, NDUFA13, NDUFS3, NEDD4L, NME6, NRG1, NUBP1, NUBP2, OSGIN1, OSTN, PABIR1, PHB1, PML, PPP1R9B, PPT1, PRDM11, PSMD10, PTCH2, PTPRJ, RAB33B, RACK1, RASAL1, RBBP7, RERG, RIMS1, RIMS2, RNF2, ROS1, RPTOR, RTN4, SDCBP, SEMA3A, SEMA4D, SEMA7A, SERTAD2, SERTAD3, SFRP1, SFRP2, SH3BP4, SIRT1, SLC25A33, SLC44A4, SLIT1, SLIT2, SLIT3, SMAD3, SMAD4, SMARCA2, SMARCA4, SMURF1, SOX17, SPAM1, SPHK1, ST20, SUPV3L1, SYT1, SYT14P1, SYT17, SYT2, SYT3, SYT4, TAF9B, TCHP, TEAD1, TFRC, TGFB1, TGFB2, TGFBR1, TMC8, TNC, TNNC1, TP53, TRIM32, TSPYL2, TWF2, UNC13A, URI1, USP47, VGLL4, WNT11, WT1, YAP1, ZNF639]",FALSE,"[AKT1, CDC42, CDKN1A, DDX3X, EGFR, SIRT1, SMARCA4, TP53]",72.77778183890774,"[DDX3X, TP53]",27.222221674824798
GO:0001649,GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00,osteoblast differentiation,"[3, 4]",[Group01],7,9.459459,1.3536636633486746E-6,3.5465987979735276E-4,{Group01=1.3536636633486746E-6},{Group01=4.060990990046024E-6},"[CTNNB1, GLI1, PPARG, PRKACA, PTCH1, RUNX2, SOX2]","[ACHE, ACVR1, ACVR2A, ACVR2B, ATF4, ATRAID, BAMBI, BGLAP, BMP2, BMP4, BMP6, BMP7, BMPR1A, BMPR1B, BMPR2, CCL3, CCN1, CCN4, CCNA2, CDK6, CHRD, CRIM1, CTNNB1, CTNNBIP1, CYP24A1, DDR2, FBXO5, FERMT2, FGF23, FZD1, GLI1, GREM1, GSK3B, HDAC7, HDAC9, IFITM1, IGF1, IL6, IL6ST, LEF1, LRP3, LRP5, LTF, MEN1, MYOC, NELL1, NOG, PPARG, PPP3CA, PRKACA, PRKCA, PTCH1, PTK2, RUNX2, SCUBE3, SFRP1, SKI, SMAD6, SMOC1, SNAI1, SNAI2, SOX11, SOX2, SP7, TMEM119, TNFAIP6, TP63, TWIST1, TWIST2, WNT3, WNT4, WWTR1, YAP1, ZHX3]",TRUE,"[CTNNB1, GLI1, PPARG, PRKACA, PTCH1, RUNX2, SOX2]",70.0534781373988,"[PTCH1, SOX2]",29.946522732051793
GO:0001667,GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00,ameboidal-type cell migration,[4],"[Group22, Group25]",12,4.6332045,5.26433230864279E-7,1.4371627202594816E-4,"{Group22=2.847544374645309E-12, Group25=2.971313981736144E-15}","{Group22=4.8408254368970256E-11, Group25=6.239759361645902E-14}","[AKT1, FGF2, GATA3, HDAC5, MAPK14, MEF2C, NOTCH1, PPARG, PTEN, SIRT1, SP1, SRC]","[ABL1, ACVR1B, ACVR1C, ACVRL1, ADAM17, ADAM9, ADGRB1, ADIPOR1, ADTRP, AGO2, AGT, AGXT, AKT1, AKT3, ANGPT1, ANGPT2, ANGPT4, ANLN, ANXA1, ANXA3, APELA, APOE, APOH, ARHGDIB, ARSB, ATOH8, ATP2B4, ATP5F1A, ATP5F1B, BCAR1, BMP10, BMP4, BMPER, BMPR2, C1QBP, CALCA, CALR, CAPN7, CARD10, CCN3, CD40, CDH13, CDH5, CEL, CENPV, CLASP1, CLASP2, CLN3, CLSTN1, CORO1B, CORO1C, CSNK2B, CXCL13, DAAM2, DAB2IP, DAND5, DCN, DLL4, DNAJA4, DOCK1, DOCK5, DPP4, EFNB2, EGF, EGR3, EMP2, ENPP2, EPB41L4B, EPHB4, ETS1, EVL, FAP, FAT2, FERMT1, FGF1, FGF10, FGF13, FGF16, FGF18, FGF2, FGF4, FGF7, FGFBP1, FGFR1, FLT4, FN1, FOXP1, FUT1, GADD45A, GATA2, GATA3, GDF2, GDNF, GFUS, GJA1, GLIPR2, GLMN, GLUL, GNPDA1, GPI, GPLD1, HAS1, HDAC5, HDAC6, HDAC7, HDAC9, HIF1A, HMGB1, HMOX1, HNF1A-AS1, HRG, HSPB1, HYAL1, HYAL2, IFNG, IL4, INSL3, ITGA4, ITGB1, ITGB1BP1, ITGB3, ITGB7, JCAD, JUP, KANK1, KANK2, KDR, KLF4, KRIT1, KRT2, LGALS8, LGMN, LOXL2, LRG1, MAP2K3, MAP3K3, MAPK14, MARVELD3, MCC, MECP2, MEF2C, MEGF8, MEOX2, MET, MIA3, MMP9, MMRN2, MTOR, MYH9, NANOS1, NANOS3, NELL1, NF1, NODAL, NOS3, NOTCH1, NR2F2, NR4A1, NRG1, NRP1, NRTN, NUS1, NUS1P3, P2RX4, PDCD10, PDCD6, PDGFB, PDPK1, PFN1, PFN2, PIK3C2A, PIK3CB, PIK3CD, PIK3CG, PIK3R3, PKN1, PKN2, PKN3, PLCG1, PLPP3, PPARG, PPM1F, PRKCA, PRKCE, PRKD1, PRKD2, PRKX, PROX1, PRR5L, PRSS3, PRSS3P2, PSG1, PTEN, PTK2, PTK2B, PTP4A3, PTPN23, PTPRG, PTPRM, PTPRR, PXDN, PXN, RAB11A, RAB25, RAC1, RGCC, RHOA, RHOB, RHOJ, RIN2, RNASE1, RNMT, ROBO1, ROCK2, RRAS, RREB1, RTN4, S100A2, S100P, SASH1, SH3BP1, SIRT1, SLIT2, SMOC2, SMURF2, SOX18, SOX9, SP1, SP100, SPAM1, SPARC, SRC, SRF, SRGAP2, SRGAP3, STARD13, STAT1, STAT5A, STC1, SVBP, SYDE1, SYNJ2BP, TBXA2R, TDGF1, TDGF1P3, TEK, TGFB1, TGFB2, THBS1, TIMP1, TMSB4X, TNF, VASH1, VEGFA, VIL1, WNT5A, YTHDF3, ZC3H12A, ZNF580]",FALSE,"[AKT1, FGF2, GATA3, HDAC5, MAPK14, MEF2C, NOTCH1, PPARG, PTEN, SIRT1, SP1, SRC]",88.91402163401672,[PTEN],11.085971321480882
GO:0001708,GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00,cell fate specification,"[3, 4, 5]",[Group02],3,27.272728,6.710132396818115E-5,0.012950555525858961,{Group02=1.3627124542206633E-4},{Group02=1.3627124542206633E-4},"[FGF2, POU5F1, SOX2]","[DKK1, FGF13, FGF2, FZD7, GSC, NANOG, POU5F1, POU5F1P3, POU5F1P4, SOX2, WNT3A]",TRUE,"[FGF2, POU5F1, SOX2]",66.72326461015246,[SOX2],33.27674012939886
