"% Associated Genes","% Common Gene","%Genes Cluster #","%Genes Cluster #1","%Genes Cluster #2","All Associated Genes","Associated Genes Found","CEREBRAL_DOWNSTRAM_INFO","CEREBRAL_DOWNSTRAM_INFO_ALL","CEREBRAL_LOCALIZATION_INFO","CEREBRAL_LOCALIZATION_INFO_ALL","Cluster","Common Genes","ENSEMBL_GENE_ID","Genes Cluster #1","Genes Cluster #2","GeneType","GOGroups","GOLevels","Group PValue","Group PValue Corrected with Bonferroni step down","ID","Input Gene ID","name","Nr. Genes","Ontology Source","OverViewTerm","selected","shared name","Term","Term PValue","Term PValue Corrected with Bonferroni step down","UniProtKB_AC","UNIQUE_ID"
"6.1855669021606445",,"179.82143118020036","20.178573222076658","79.82143118020035","[ACVR1, AGT, AGTR2, AGXT, AKR1B1, AR, AREG, ATF3, BCL10, BCL2, BCL2L1, BID, BIRC6, BRCA1, CAV1, CFLAR, CSF2, CYLD, DDX3X, DEDD2, DEPTOR, ETFA, ETFB, ETFDH, FADD, FAIM2, FEM1B, FGA, FGB, FGG, G0S2, GATA1, GDNF, GPX1, GSK3B, GSTP1, HMOX1, HSPA1A, HSPA1B, HTRA2, HTT, ICAM1, IFI6, IGF1, IL1B, INHBA, ITGA6, ITGAV, LGALS3, LTBR, MADD, MAPK7, MCL1, MEN1, NOL3, PAK2, PARK7, PEA15, PELI3, PF4, PHIP, PKN2, PMAIP1, PML, PPP2R1B, PSME3, PTEN, PYCARD, RELA, RFFL, RIPK1, RNF34, SCG2, SERPINE1, SFRP1, SH3RF1, SIAH2, SLC6A4, SP100, SRC, STX4, TANK, TERT, TGFBR1, THBS1, TIMP3, TMBIM1, TMC8, TNF, TNFAIP3, TNFRSF12A, TNFSF10, TNFSF12, TRAF1, TRAF2, UNC5B, ZMYND11]","[AR, DDX3X, GSK3B, PTEN, RELA, TNF]","","","","","Specific for Cluster #2","","","[DDX3X]","[AR, DDX3X, GSK3B, PTEN, RELA, TNF]","","[Group02]","[5, 6, 7, 8]","{Group02=2.3991567804008626E-4}","{Group02=9.59662712160345E-4}","GO:2001236","","regulation%20of%20extrinsic%20apoptotic%20signaling%20pathway","6","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","TRUE","false","regulation%20of%20extrinsic%20apoptotic%20signaling%20pathway","regulation of extrinsic apoptotic signaling pathway","2.3991567804008626E-4","0.011755868223964227","","GO:2001236"
"40.0",,"200.00000160012485","0.0","100.00000160012483","[BMP4, MEF2C, MYOCD, TGFB1, WNT3A]","[MEF2C, TGFB1]","","","","","Specific for Cluster #2","","","[]","[MEF2C, TGFB1]","","[Group13]","[4, 5, 6, 7, 8, 9, 10]","{Group13=1.2353589111825506E-15}","{Group13=1.605966584537316E-14}","GO:2000727","","positive%20regulation%20of%20cardiac%20muscle%20cell%20differentiation","2","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","positive%20regulation%20of%20cardiac%20muscle%20cell%20differentiation","positive regulation of cardiac muscle cell differentiation","7.979122308341691E-4","0.030320664771698425","","GO:2000727"
"19.298246383666992",,"200.00000160012485","0.0","100.00000160012483","[APLN, ATOH8, BMP4, DDX5, EGR1, ETS1, FOSL1, GATA2, GATA3, GNL3, HIF1A, HRAS, IL10, JUN, KLF4, KLF5, LILRB4, LIN28B, MRTFA, MRTFB, MYB, MYC, NFATC3, NFATC4, NFIB, NFKB1, NGFR, NR3C1, PDGFB, PNPT1, POU5F1, POU5F1P3, POU5F1P4, PPARA, PPARG, PRL, RARA, RELA, REST, SMAD3, SMARCA4, SOX9, SPI1, SREBF1, SRF, STAT3, TEAD1, TENT2, TERT, TGFB1, TGFB2, TNF, TP53, WT1, ZC3H12A, ZNF512B, ZSWIM8]","[EGR1, ETS1, KLF4, MYC, NFKB1, POU5F1, PPARG, RELA, SMARCA4, TGFB1, TNF]","","","","","Specific for Cluster #2","","","[]","[EGR1, ETS1, KLF4, MYC, NFKB1, POU5F1, PPARG, RELA, SMARCA4, TGFB1, TNF]","","[Group13]","[5, 6, 7, 8, 9]","{Group13=1.2353589111825506E-15}","{Group13=1.605966584537316E-14}","GO:2000628","","regulation%20of%20miRNA%20metabolic%20process","11","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","regulation%20of%20miRNA%20metabolic%20process","regulation of miRNA metabolic process","2.4288669306950502E-12","2.1131142297046936E-10","","GO:2000628"
"11.11111068725586",,"176.72502627626136","23.27497572203881","76.72502627626136","[ACVR1, APC, BRD7, CASP2, CCL2, CCND1, CDC73, CDK2AP2, CDKN1A, CFH, CRADD, CRLF3, DACT1, DCUN1D3, DLG1, FAM107A, FBXO31, FHL1, GPNMB, HPLH1, INHBA, JADE1, KANK2, KLF4, MDM2, MUC1, NACC2, PIDD1, PKD2, POLR1B, PRAP1, PRKD2, PRKDC, PROC, PTEN, RFWD3, RPA2, RPL26, RPS27L, SDE2, SLFN11, TFDP3, TP53, WAC, ZNF655]","[APC, CCND1, KLF4, PRKDC, PTEN]","","","","","Specific for Cluster #2","","","[APC]","[APC, CCND1, KLF4, PRKDC, PTEN]","","[Group14]","[6, 7, 8, 9]","{Group14=1.0130489753742884E-11}","{Group14=1.215658770449146E-10}","GO:2000134","","negative%20regulation%20of%20G1/S%20transition%20of%20mitotic%20cell%20cycle","5","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","negative%20regulation%20of%20G1/S%20transition%20of%20mitotic%20cell%20cycle","negative regulation of G1/S transition of mitotic cell cycle","5.032323717921089E-5","0.0030193942307526534","","GO:2000134"
"9.677419662475586",,"174.79085091414697","25.209147287867438","74.79085091414697","[ACVR1, ADAM17, ADAMTS1, AIF1, AKT1, AMBRA1, ANKRD17, APC, APLP2, APPL1, APPL2, BRD7, CASP2, CCL2, CCND1, CCND2, CCNH, CDC73, CDK2AP2, CDK7, CDKN1A, CDKN1B, CDKN2A, CDKN2C, CDKN2D, CENPJ, CFH, CPSF3, CRADD, CRLF3, DACT1, DCUN1D3, DDX3X, DLG1, E2F1, EGFR, EIF4G1, FAM107A, FBXO31, FGF10, FHL1, GPNMB, HPLH1, HYAL1, ID2, INHBA, INO80, JADE1, KANK2, KIF14, KLF4, KMT2E, LSM10, LSM11, MBLAC1, MDM2, MNAT1, MUC1, NACC2, PIDD1, PKD1, PKD2, PLK5, POLR1B, PPP2CA, PRAP1, PRKD2, PRKDC, PROC, PTEN, PTPN6, RFWD3, RGCC, RPA2, RPL26, RPS27L, RPTOR, RRM1, RRM2, SASS6, SDE2, SLFN11, SPAM1, STIL, STOX1, TFDP1, TFDP3, TM4SF5, TMEM14B, TP53, UBE2E2, WAC, ZNF655]","[AKT1, APC, CCND1, CDKN2A, DDX3X, E2F1, KLF4, PRKDC, PTEN]","","","","","Specific for Cluster #2","","","[APC, DDX3X]","[AKT1, APC, CCND1, CDKN2A, DDX3X, E2F1, KLF4, PRKDC, PTEN]","","[Group10, Group14]","[6, 7, 8]","{Group10=2.994293552985586E-11, Group14=1.0130489753742884E-11}","{Group10=3.293722908284145E-10, Group14=1.215658770449146E-10}","GO:2000045","","regulation%20of%20G1/S%20transition%20of%20mitotic%20cell%20cycle","9","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","TRUE","false","regulation%20of%20G1/S%20transition%20of%20mitotic%20cell%20cycle","regulation of G1/S transition of mitotic cell cycle","1.4353502562944136E-7","1.1339267024725867E-5","","GO:2000045"
"66.66666412353516",,"200.00000160012485","0.0","100.00000160012483","[MECP2, MYC, WT1]","[MECP2, MYC]","","","","","Specific for Cluster #2","","","[]","[MECP2, MYC]","","[Group11]","[5, 6, 7, 8, 9, 10, 11]","{Group11=1.3139562641167055E-6}","{Group11=9.197693848816938E-6}","GO:1905643","","positive%20regulation%20of%20DNA%20methylation","2","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","positive%20regulation%20of%20DNA%20methylation","positive regulation of DNA methylation","2.4222680206723726E-4","0.011626886499227388","","GO:1905643"
"66.66666412353516",,"200.00000160012485","0.0","100.00000160012483","[CCNB1, CDK1, CHCHD2]","[CCNB1, CDK1]","","","","","Specific for Cluster #2","","","[]","[CCNB1, CDK1]","","[Group14]","[4, 5, 6, 7, 8, 9, 10, 11]","{Group14=1.0130489753742884E-11}","{Group14=1.215658770449146E-10}","GO:1905448","","positive%20regulation%20of%20mitochondrial%20ATP%20synthesis%20coupled%20electron%20transport","2","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","positive%20regulation%20of%20mitochondrial%20ATP%20synthesis%20coupled%20electron%20transport","positive regulation of mitochondrial ATP synthesis coupled electron transport","2.4222680206723726E-4","0.011626886499227388","","GO:1905448"
"50.0",,"200.00000160012485","0.0","100.00000160012483","[AKT1, CX3CL1, DDRGK1, TNF]","[AKT1, TNF]","","","","","Specific for Cluster #2","","","[]","[AKT1, TNF]","","[Group09, Group11, Group12]","[6, 7, 8, 9, 10]","{Group09=4.077340746800088E-4, Group11=1.3139562641167055E-6, Group12=3.757707136486258E-8}","{Group09=8.154681493600176E-4, Group11=9.197693848816938E-6, Group12=3.381936422837632E-7}","GO:1903721","","positive%20regulation%20of%20I-kappaB%20phosphorylation","2","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","positive%20regulation%20of%20I-kappaB%20phosphorylation","positive regulation of I-kappaB phosphorylation","4.815910566596616E-4","0.019263642266386466","","GO:1903721"
"23.52941131591797",,"200.00000160012485","0.0","100.00000160012483","[BMP4, LILRB4, NFATC3, NFATC4, NFIB, PDGFB, POU5F1, POU5F1P3, POU5F1P4, PPARA, PPARG, RARA, RELA, REST, SOX9, TGFB1, ZNF512B]","[POU5F1, PPARG, RELA, TGFB1]","","","","","Specific for Cluster #2","","","[]","[POU5F1, PPARG, RELA, TGFB1]","","[Group13]","[6, 7, 8, 9, 10, 11, 12]","{Group13=1.2353589111825506E-15}","{Group13=1.605966584537316E-14}","GO:1902894","","negative%20regulation%20of%20miRNA%20transcription","4","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","negative%20regulation%20of%20miRNA%20transcription","negative regulation of miRNA transcription","1.3741486404939407E-5","9.344210755358797E-4","","GO:1902894"
"7.352941036224365",,"176.72502627626136","23.27497572203881","76.72502627626136","[ACIN1, AGER, AMBRA1, ANXA1, AXL, BCL6, CALCA, CASP8, CCR1, CD4, CD46, CD74, CR1, CSF1, CTNNBIP1, DUSP10, EVI2B, FADD, FES, FOXO3, FOXP3, GAS6, HAX1, HCLS1, HLA-DRA, HLA-DRB1, HLA-G, HMGB1, HSF1, IFNG, IL10, IL12B, IL17A, IL17F, IL2, IL23A, IL34, IL4, IL4I1, KAT5, LEF1, LGALS1, LGALS3, LGALS9, LIF, LILRB2, LILRB4, MYB, NKAP, PF4, PNP, PPY, RARA, RHOH, RIPK1, RUNX1, SART1, SOCS1, SYK, TESC, TNF, TNFSF11, TRAF6, VSIR, XBP1, XBP1P1, ZAP70, ZFP36L1]","[CCR1, LEF1, RUNX1, SYK, TNF]","","","","","Specific for Cluster #2","","","[LEF1]","[CCR1, LEF1, RUNX1, SYK, TNF]","","[Group11]","[4, 5, 6, 7, 8, 9, 10]","{Group11=1.3139562641167055E-6}","{Group11=9.197693848816938E-6}","GO:1902107","","positive%20regulation%20of%20leukocyte%20differentiation","5","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","positive%20regulation%20of%20leukocyte%20differentiation","positive regulation of leukocyte differentiation","3.644298753588746E-4","0.01567048464043161","","GO:1902107"
