Edge1-Edge2	KappaScore
GO:0001216 (term-term) GO:0000981	0.7636292325794222
GO:0001217 (term-term) GO:0000122	0.49302996314693165
GO:0001217 (term-term) GO:0000981	0.4541886792452833
GO:0001227 (term-term) GO:0000122	0.4691398023651386
GO:0001227 (term-term) GO:0000981	0.431641518061271
GO:0001227 (term-term) GO:0001217	0.9673126988718541
GO:0001227 (term-term-ontology) GO:0000122	2.0
GO:0001227 (term-term-ontology) GO:0000981	2.0
GO:0001227 (term-term-ontology) GO:0001217	2.0
GO:0001228 (term-term) GO:0000981	0.7467369808833222
GO:0001228 (term-term) GO:0001216	0.982032119573859
GO:0001228 (term-term-ontology) GO:0000981	2.0
GO:0001228 (term-term-ontology) GO:0001216	2.0
GO:0001934 (term-term) GO:0001932	0.8345534407027817
GO:0001934 (term-term-ontology) GO:0001932	2.0
GO:0003700 (term-term) GO:0000981	0.7438146870379496
GO:0003700 (term-term) GO:0001216	0.5355674992096111
GO:0003700 (term-term) GO:0001228	0.5215918712955122
GO:0003700 (term-term-ontology) GO:0000981	2.0
GO:0003700 (term-term-ontology) GO:0001216	2.0
GO:0003700 (term-term-ontology) GO:0001217	2.0
GO:0003713 (term-term) GO:0003712	0.7945988055050633
GO:0003713 (term-term-ontology) GO:0003712	2.0
GO:0004693 (term-term) GO:0000082	0.49858814037918575
GO:0006351 (term-term) GO:0003700	0.5132927372642211
GO:0006355 (term-term) GO:0003700	0.5202234636871508
GO:0006355 (term-term) GO:0006351	0.990957829879171
GO:0006355 (term-term-ontology) GO:0006351	2.0
GO:0006357 (term-term) GO:0000122	0.44539877300613495
GO:0006357 (term-term) GO:0000981	0.48372358652198755
GO:0006357 (term-term) GO:0003700	0.5367735712563299
GO:0006357 (term-term) GO:0006351	0.7810925997675318
GO:0006357 (term-term) GO:0006355	0.7897185391951619
GO:0006357 (term-term-ontology) GO:0000122	2.0
GO:0006357 (term-term-ontology) GO:0000981	2.0
GO:0006357 (term-term-ontology) GO:0006355	2.0
GO:0006366 (term-term) GO:0000122	0.43927438379565603
GO:0006366 (term-term) GO:0000981	0.4772339907475043
GO:0006366 (term-term) GO:0003700	0.5292421086364365
GO:0006366 (term-term) GO:0006351	0.7895716945996277
GO:0006366 (term-term) GO:0006355	0.7806847294464714
GO:0006366 (term-term) GO:0006357	0.9911114607095102
GO:0006366 (term-term-ontology) GO:0000122	2.0
GO:0006366 (term-term-ontology) GO:0006351	2.0
GO:0006366 (term-term-ontology) GO:0006357	2.0
GO:0006468 (term-term) GO:0001932	0.8382984259138807
GO:0006468 (term-term) GO:0001934	0.6813760045114902
GO:0006468 (term-term-ontology) GO:0001932	2.0
GO:0006468 (term-term-ontology) GO:0001934	2.0
GO:0009059 (term-term) GO:0003700	0.42688763483105946
GO:0009059 (term-term) GO:0006351	0.88016967126193
GO:0009059 (term-term) GO:0006355	0.8712669867361055
GO:0009059 (term-term) GO:0006357	0.6699208240448918
GO:0009059 (term-term) GO:0006366	0.6778642422374606
GO:0009755 (term-term) GO:0009725	0.6435331230283908
GO:0009889 (term-term) GO:0003700	0.42051282051282046
GO:0009889 (term-term) GO:0006351	0.8523117137722594
GO:0009889 (term-term) GO:0006355	0.8618919579564899
GO:0009889 (term-term) GO:0006357	0.6614427287393411
GO:0009889 (term-term) GO:0006366	0.6519328507623593
GO:0009889 (term-term) GO:0009059	0.9713658248162851
GO:0009890 (term-term) GO:0000122	0.6760897499258673
GO:0009890 (term-term) GO:0006355	0.40095572313895333
GO:0009890 (term-term) GO:0009059	0.4406341918358564
GO:0009890 (term-term) GO:0009889	0.4341107454571469
GO:0009890 (term-term-ontology) GO:0009889	2.0
GO:0009891 (term-term) GO:0003700	0.45330053300532996
GO:0009891 (term-term) GO:0006351	0.5916814023218268
GO:0009891 (term-term) GO:0006355	0.5999384283845147
GO:0009891 (term-term) GO:0006357	0.5893181638618944
GO:0009891 (term-term) GO:0006366	0.5808539183963382
GO:0009891 (term-term) GO:0009059	0.5887481992569565
GO:0009891 (term-term) GO:0009889	0.6148602590320382
GO:0009891 (term-term-ontology) GO:0009889	2.0
GO:0009892 (term-term) GO:0000122	0.40964141534077414
GO:0009892 (term-term) GO:0009890	0.6705539358600584
GO:0009892 (term-term-ontology) GO:0009890	2.0
GO:0009893 (term-term) GO:0009059	0.4148060106970032
GO:0009893 (term-term) GO:0009889	0.44202281627788187
GO:0009893 (term-term) GO:0009891	0.5985942105660947
GO:0009893 (term-term-ontology) GO:0009891	2.0
GO:0009895 (term-term) GO:0009894	0.6295081967213116
GO:0009895 (term-term-ontology) GO:0009892	2.0
GO:0009895 (term-term-ontology) GO:0009894	2.0
GO:0010468 (term-term) GO:0006351	0.7175941352882373
GO:0010468 (term-term) GO:0006355	0.7280272221761143
GO:0010468 (term-term) GO:0006357	0.5438342600350368
GO:0010468 (term-term) GO:0006366	0.5336288596759401
GO:0010468 (term-term) GO:0009059	0.7723968823890007
GO:0010468 (term-term) GO:0009889	0.7814313346228239
GO:0010468 (term-term) GO:0009891	0.4518247630420181
GO:0010468 (term-term) GO:0009892	0.4463799673380512
GO:0010468 (term-term-ontology) GO:0006355	2.0
GO:0010556 (term-term) GO:0003700	0.43329989969909716
GO:0010556 (term-term) GO:0006351	0.8711306614532421
GO:0010556 (term-term) GO:0006355	0.8806176351076799
GO:0010556 (term-term) GO:0006357	0.6784093531266827
GO:0010556 (term-term) GO:0006366	0.6689793401171754
GO:0010556 (term-term) GO:0009059	0.9905034036473653
GO:0010556 (term-term) GO:0009889	0.9809604043807919
GO:0010556 (term-term) GO:0009890	0.44719424460431645
GO:0010556 (term-term) GO:0009891	0.596888045540797
GO:0010556 (term-term) GO:0009893	0.42600745005079593
GO:0010556 (term-term) GO:0010468	0.7831472435450104
GO:0010556 (term-term-ontology) GO:0009059	2.0
GO:0010556 (term-term-ontology) GO:0009889	2.0
GO:0010557 (term-term) GO:0003700	0.4682572442830017
GO:0010557 (term-term) GO:0006351	0.6100759144237405
GO:0010557 (term-term) GO:0006355	0.6182725527831094
GO:0010557 (term-term) GO:0006357	0.6066766869709673
GO:0010557 (term-term) GO:0006366	0.5982460298648969
GO:0010557 (term-term) GO:0009059	0.6076685032832667
GO:0010557 (term-term) GO:0009889	0.5996230682246514
GO:0010557 (term-term) GO:0009891	0.9819848545237146
GO:0010557 (term-term) GO:0009893	0.5835902835225991
GO:0010557 (term-term) GO:0010468	0.4554822447920528
GO:0010557 (term-term) GO:0010556	0.6157333937882566
GO:0010557 (term-term-ontology) GO:0009059	2.0
GO:0010557 (term-term-ontology) GO:0009891	2.0
GO:0010557 (term-term-ontology) GO:0010556	2.0
GO:0010558 (term-term) GO:0000122	0.6851428002786347
GO:0010558 (term-term) GO:0009059	0.4337461521941441
GO:0010558 (term-term) GO:0009889	0.4272967378114071
GO:0010558 (term-term) GO:0009890	0.9899188152377556
GO:0010558 (term-term) GO:0009892	0.6615966585231301
GO:0010558 (term-term) GO:0010556	0.44023260822743926
GO:0010558 (term-term-ontology) GO:0009059	2.0
GO:0010558 (term-term-ontology) GO:0009890	2.0
GO:0010558 (term-term-ontology) GO:0010556	2.0
GO:0010562 (term-term) GO:0001932	0.7724244771494962
GO:0010562 (term-term) GO:0001934	0.9209375546615356
GO:0010562 (term-term) GO:0006468	0.6313714829414161
GO:0010604 (term-term) GO:0006351	0.41412832145171746
GO:0010604 (term-term) GO:0006355	0.42444821731748716
