"% Associated Genes","% Common Gene","%Genes Cluster #","All Associated Genes","Associated Genes Found","CEREBRAL_DOWNSTRAM_INFO","CEREBRAL_DOWNSTRAM_INFO_ALL","CEREBRAL_LOCALIZATION_INFO","CEREBRAL_LOCALIZATION_INFO_ALL","Cluster","Common Genes","ENSEMBL_GENE_ID","GeneType","GOGroups","GOLevels","Group PValue","Group PValue Corrected with Bonferroni step down","ID","Input Gene ID","name","Nr. Genes","Ontology Source","OverViewTerm","selected","shared name","Term","Term PValue","Term PValue Corrected with Bonferroni step down","UniProtKB_AC","UNIQUE_ID"
"5.0",,,"[ACVR1, ACVR1B, ADAM17, ADAMTS1, AIF1, AKT1, AMBRA1, ANKRD17, APC, APLP2, APPL1, APPL2, BACH1, BRD4, BRD7, BRIP1, CACUL1, CASP2, CCL2, CCND1, CCND2, CCNE1, CCNH, CDC73, CDK2AP2, CDK4, CDK7, CDKN1A, CDKN1B, CDKN2A, CDKN2C, CDKN2D, CENPJ, CFH, CPSF3, CRADD, CRLF3, DACT1, DCUN1D3, DDX3X, DLG1, E2F1, E2F3, E2F7, EGFR, EIF4E, EIF4EBP1, EIF4G1, FAM107A, FBXO31, FGF10, FHL1, GPNMB, HINFP, HPLH1, HYAL1, ID2, INHBA, INO80, JADE1, KANK2, KIF14, KLF11, KLF4, KMT2E, LATS2, LSM10, LSM11, MBLAC1, MDM2, MNAT1, MUC1, MYC, NACC2, NPAT, PHF8, PIDD1, PIM2, PKD1, PKD2, PLK2, PLK3, PLK5, POLE, POLR1B, PPP2CA, PRAP1, PRKD2, PRKDC, PROC, PTEN, PTPN6, RCC1, RFWD3, RGCC, RPA2, RPL26, RPS27L, RPS6KB1, RPTOR, RRM1, RRM2, SASS6, SDE2, SLFN11, SPAM1, SPDYA, STIL, STOX1, TFDP1, TFDP3, TM4SF5, TMEM14B, TP53, UBE2E2, USP37, WAC, ZNF324, ZNF655, ZPR1]","[CDK4, CDKN2C, CDKN2D, MYC, PTEN, ZNF655]","","","","","","","","","[Group6]","[5, 6]","{Group6=1.9714455152359102E-5}","{Group6=1.1828673091415461E-4}","GO:0000082","","G1/S%20transition%20of%20mitotic%20cell%20cycle","6","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","G1/S%20transition%20of%20mitotic%20cell%20cycle","G1/S transition of mitotic cell cycle","1.3556439498547843E-5","2.4401591097386117E-4","","GO:0000082"
"3.409090995788574",,,"[ABCB1, ABRAXAS1, ARPP19, ARTN, ATM, BABAM1, BABAM2, BACH1, BLM, BRCA1, BRCC3, BRD4, BRIP1, BRSK1, BRSK2, CCDC57, CCNA2, CCNB1, CCND1, CCNY, CDC14B, CDC25C, CDC7, CDK1, CDK14, CDK4, CDK5RAP3, CDKN1A, CDKN2A, CENPF, CFH, CHEK1, CHEK2, CHFR, CHMP4C, CLSPN, DBF4B, DEPDC1B, DONSON, DTL, FBXL15, FBXO5, FHL1, FOXM1, FOXN3, FZR1, HPLH1, INIP, INTS3, KCNH5, KDM8, KIF14, LATS1, MASTL, MECP2, MRNIP, NABP1, NABP2, NAE1, NBN, NES, NOP53, PABIR1, PINX1, PLK1, RAB11A, RAD51B, RAD51C, RCC2, RFPL1, RINT1, RRM1, RRM2B, STOX1, TAF2, TAOK1, TAOK2, TAOK3, TNFSF13B, TPD52L1, TRIM39, UIMC1, USH1C, USP47, VPS4A, VPS4B, ZFYVE19, ZNF367]","[ATM, CCDC57, CDK4]","","","","","","","","","[Group0]","[5, 6]","{Group0=0.0068807385519909295}","{Group0=0.013761477103981859}","GO:0000086","","G2/M%20transition%20of%20mitotic%20cell%20cycle","3","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","TRUE","false","G2/M%20transition%20of%20mitotic%20cell%20cycle","G2/M transition of mitotic cell cycle","0.0068807385519909295","0.0068807385519909295","","GO:0000086"
"8.69565200805664",,,"[ADAM17, AKT1, APC, BCCIP, BLM, CCNA2, CCNB1, CCND1, CCND2, CCND3, CCNK, CCNY, CDK1, CDK14, CDK2, CDK4, CDK5RAP1, CDK6, CDK9, CDKN1B, CDKN2A, CDKN2B, CDKN2C, CDKN2D, EGFR, GTPBP4, HEXIM1, HEXIM2, HHEX, INCA1, LATS1, LATS2, MEN1, MYOCD, NR2F2, PDGFB, PKD1, PKD2, PLK1, PRKD2, PROC, PROX1, PSMD10, PTEN, RGCC, TFAP4]","[CDK4, CDKN2C, CDKN2D, PTEN]","","","","","","","","","[Group6]","[5, 6]","{Group6=1.9714455152359102E-5}","{Group6=1.1828673091415461E-4}","GO:0004693","","cyclin-dependent%20protein%20serine/threonine%20kinase%20activity","4","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","cyclin-dependent%20protein%20serine/threonine%20kinase%20activity","cyclin-dependent protein serine/threonine kinase activity","4.816688813329609E-5","7.706702101327375E-4","","GO:0004693"
"3.4782607555389404",,,"[ACTL6A, ACTL6B, ACTR5, ACTR8, AICDA, ANP32B, ARID1A, ARID2, ASF1A, ASF1B, ATF7IP, ATRX, BAHD1, BANF1, BAZ1A, BAZ1B, BEND3, BMI1, BPTF, BRD2, CABIN1, CBX3, CDAN1, CDK2, CECR2, CENPV, CGGBP1, CHAF1A, CHAF1B, CHD1, CHD1L, CHD3, CHD4, CHD8, CHRAC1, COMMD3-BMI1, CREBZF, CTBP1, CTCF, DAXX, DDX11, DNAJC9, DNMT1, DPEP2, DPEP3, EHMT1, EP300, EPC1, ERCC6, EZH2, FAM47E, FAM47E-STBD1, GATAD1, GATAD2A, GATAD2B, GLMN, GPX1, GRWD1, H1-0, H1-5, H1-9P, H2AB1, H2AB2, H2AB3, H2AW, H2BC1, H3-3A, H3-3B, H3-4, H3C1, H3C10, H3C11, H3C12, H3C13, H3C14, H3C15, H3C2, H3C3, H3C4, H3C6, H3C7, H3C8, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, HAT1, HDAC1, HDAC2, HDAC4, HDAC5, HDAC6, HIRA, HJURP, HMGA2, HMGB1, HNRNPU, HP1BP3, IFI16, INO80, INO80B, INO80C, INO80D, INO80E, IPO4, KAT2B, KDM1A, L3MBTL1, L3MBTL3, LIN54, LOXL2, LRIF1, LRWD1, LSM11, MACROH2A1, MACROH2A2, MBD2, MBD3, MCM3AP, MCRS1, MECP2, METTL3, MIER1, MLLT3, MORC2, MPHOSPH8, MTA1, MTA2, MTA3, MTHFR, MYB, MYC, MYSM1, NAA60, NAP1L4, NASP, NFRKB, NOC2L, NPM1, NPM2, NUDT5, PADI2, PAK1, PARP10, PHF1, PHF2, PHF8, PIH1D1, PKN1, POLE3, PPHLN1, PPM1D, PWWP3A, RB1, RBBP4, RBBP7, RBM15, RBM15B, RLIM, RRP8, RSF1, RUVBL1, RUVBL2, SAMD1, SART3, SETD1A, SETD2, SETD7, SETDB1, SIN3A, SIRT1, SIRT6, SMARCA1, SMARCA2, SMARCA4, SMARCA5, SMARCAD1, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, SMCHD1, SOX9, SPHK2, SPI1, SPTY2D1, SSRP1, SUPT16H, SUV39H1, SUV39H2, SYCP3, TAL1, TASOR, TET1, TFAP2C, TFPT, TLK1, TLK2, TNP1, TOP1, TP53, TPR, TRIM27, TRIM28, UBN1, UCHL5, VPS72, WBP2, YTHDC1, YY1, ZBTB1, ZBTB7A, ZFP57, ZNF304, ZNF335, ZNF445, ZNF827]","[BMI1, ERCC6, H3C11, H4C2, MYC, PHF1, RB1, SMARCA4]","","","","","","","","","[Group5]","[4, 6]","{Group5=8.211836249019164E-6}","{Group5=5.748285374313415E-5}","GO:0006325","","chromatin%20organization","8","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","TRUE","false","chromatin%20organization","chromatin organization","6.516099988398196E-6","1.238058997795657E-4","","GO:0006325"
"3.7878787517547607",,,"[ACTL6A, ACTL6B, ACTR5, ACTR8, ANP32B, ARID1A, ARID2, ASF1A, ATRX, BAZ1A, BAZ1B, BPTF, BRD2, CECR2, CENPV, CHD1, CHD1L, CHD3, CHD4, CHD8, CHRAC1, DAXX, DNAJC9, DPEP2, DPEP3, ERCC6, GATAD1, GATAD2A, GATAD2B, GRWD1, H2AB1, H2AB2, H2AB3, H2AW, H2BC1, H3-3A, H3-3B, H3-4, H3C1, H3C10, H3C11, H3C12, H3C13, H3C14, H3C15, H3C2, H3C3, H3C4, H3C6, H3C7, H3C8, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, HDAC1, HDAC2, HDAC4, HJURP, INO80, INO80B, INO80C, INO80D, INO80E, KAT2B, LIN54, MBD2, MBD3, MCM3AP, MCRS1, MIER1, MORC2, MTA1, MTA2, MTA3, MYB, MYC, MYSM1, NAA60, NAP1L4, NFRKB, NPM1, NPM2, NUDT5, PAK1, PIH1D1, PKN1, POLE3, RBBP4, RBBP7, RSF1, RUVBL1, RUVBL2, SART3, SETD2, SIRT6, SMARCA1, SMARCA2, SMARCA4, SMARCA5, SMARCAD1, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCD2, SMARCD3, SMARCE1, SOX9, SPTY2D1, SSRP1, SUPT16H, SUV39H2, SYCP3, TFPT, TNP1, TOP1, UCHL5, YY1, ZBTB1, ZBTB7A, ZNF827]","[ERCC6, H3C11, H4C2, MYC, SMARCA4]","","","","","","","","","[Group5]","[5, 7]","{Group5=8.211836249019164E-6}","{Group5=5.748285374313415E-5}","GO:0006338","","chromatin%20remodeling","5","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","chromatin%20remodeling","chromatin remodeling","2.787291079749966E-4","0.0036234784036749557","","GO:0006338"
"3.0303030014038086",,,"[ABL1, ACP4, ADAR, ADARB1, AGT, AGXT, AIDA, AKT1, AKT1S1, ANKS1B, APC, APOE, BMP2, BMP4, BMP7, CAV1, CAV3, CBLC, CD300A, CDK5RAP1, CDK5RAP3, CDKN1A, CDKN1B, CDKN1C, CDKN2A, CDKN2B, CDKN2C, CDKN2D, CEP43, CEP85, CHMP6, CORO1C, DAB2IP, DBNDD2, DEFB114, DEPTOR, DNAJA1, DUSP1, DUSP10, DUSP12, DUSP16, DUSP22, DUSP7, DVL1, DVL1P1, EPHA1, ERRFI1, GADD45A, GBA, GBAP1, GNAQ, GSKIP, GSTP1, HEG1, HEXIM1, HEXIM2, HHEX, HYAL2, IBTK, IFNG, INCA1, INPP5K, IRAK3, ITGB1BP1, LATS1, LATS2, LAX1, LILRB4, LRP5, LRP6, MACROH2A1, MEN1, MMVP1, MVP, MYOCD, NPM1, NPPA, NR2F2, PAQR3, PARK7, PDPK1, PKIA, PLK1, PPARG, PPIA, PPM1E, PPM1F, PRKAG2, PRKAR1A, PRKAR1B, PRKAR2A, PRKAR2B, PRKCD, PRKCH, PROC, PTEN, PTK6, PTPN1, PTPN22, PTPRC, PTPRJ, PTPRT, PYCARD, PYDC1, QARS1, RACK1, RASIP1, RB1, RTRAF, SERPINB3, SIRT1, SMCR8, SMPD1, SOCS4, SOCS5, SOCS6, SPRED1, SRCIN1, STK38, TAF7, TFAP4, TRIB1, TRIB3, TRIM27, TSG101, UCHL1, VPS25, WARS1, WWTR1, ZFYVE28, ZGPAT, ZNF675]","[CDKN2C, CDKN2D, PTEN, RB1]","","","","","","","","","[Group6]","[7, 8, 9, 10]","{Group6=1.9714455152359102E-5}","{Group6=1.1828673091415461E-4}","GO:0006469","","negative%20regulation%20of%20protein%20kinase%20activity","4","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","negative%20regulation%20of%20protein%20kinase%20activity","negative regulation of protein kinase activity","0.002701878194525353","0.010807512778101411","","GO:0006469"
"3.6363637447357178",,,"[AICDA, ANP32B, ASF1A, ASF1B, ATF7IP, ATRX, BAHD1, BAZ1A, BEND3, BRD2, CABIN1, CBX3, CDAN1, CDK2, CENPV, CHAF1A, CHAF1B, CHRAC1, CTBP1, CTCF, DAXX, DNAJC9, DNMT1, DPEP2, EZH2, GRWD1, H1-0, H1-9P, H2AB1, H2AB2, H2AB3, H2BC1, H3-3A, H3-3B, H3-4, H3C1, H3C10, H3C11, H3C12, H3C13, H3C14, H3C15, H3C2, H3C3, H3C4, H3C6, H3C7, H3C8, H4-16, H4C1, H4C11, H4C12, H4C13, H4C14, H4C15, H4C2, H4C3, H4C4, H4C5, H4C6, H4C8, H4C9, HAT1, HDAC1, HIRA, HJURP, HMGA2, HMGB1, IPO4, KDM1A, L3MBTL1, L3MBTL3, MACROH2A1, MBD2, MORC2, MPHOSPH8, NAA60, NAP1L4, NASP, NOC2L, NPM1, PARP10, PHF1, PHF2, PHF8, POLE3, PPHLN1, RB1, RBBP4, RRP8, RSF1, SAMD1, SART3, SETDB1, SIN3A, SIRT1, SIRT6, SMARCA5, SOX9, SPTY2D1, SUV39H1, TASOR, TET1, TNP1, TP53, TPR, TRIM28, UBN1, ZNF304, ZNF445]","[H3C11, H4C2, PHF1, RB1]","","","","","","","","","[Group5]","[5, 7]","{Group5=8.211836249019164E-6}","{Group5=5.748285374313415E-5}","GO:0031497","","chromatin%20assembly","4","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","chromatin%20assembly","chromatin assembly","0.0013857659053966556","0.009700361337776589","","GO:0031497"
"4.34782600402832",,,"[ADIPOQ, AFAP1L2, AIFM2, APOA2, BCL10, CALCA, CD14, CD2, CD244, CD58, CD74, CLEC7A, CNTN1, DDIT3, DDX58, DEFA5, EHHADH, ELANE, F2R, F2RL1, F3, FADD, FCN1, FFAR2, GDF2, HMGB1, HSPA1A, HSPA1B, HYAL2, IL17D, IL1B, IL6, LAMTOR5, LBP, LEP, LGALS9, LILRA2, LPAL2, MAVS, MYD88, NANOS2, NDUFA2, NLRP10, NOD1, NOD2, NOS2, PARK7, PLPPR1, PRG3, PRKD2, PYCARD, RAB1A, RELA, RIPK1, RPSA, SERPINE1, STAT3, SYK, TIRAP, TLR1, TLR2, TLR3, TLR4, TLR5, TLR7, TLR8, TLR9, TNF, ZNF580]","[EHHADH, STAT3, SYK]","","","","","","","","","[Group4]","[4, 5, 6, 7, 8]","{Group4=0.012340933502274802}","{Group4=0.012340933502274802}","GO:0032757","","positive%20regulation%20of%20interleukin-8%20production","3","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","TRUE","false","positive%20regulation%20of%20interleukin-8%20production","positive regulation of interleukin-8 production","0.0034833439778405527","0.010450031933521658","","GO:0032757"
"4.918032646179199",,,"[AMH, APP, ARFGEF2, ARHGEF2, AZU1, C1QTNF4, CD14, CD2, CLEC7A, CLU, CYBA, DDT, DDTL, DDX58, DEAF1, DHX9, EHHADH, EPHB2, FADD, FCGR3A, FCGR3B, FRMD8, HAVCR2, HLA-E, HMGB1, IFIH1, IL12B, IL17A, IL17F, IL23A, IL6, LBP, LGALS9, LILRA2, LILRA5, LILRP2, MAVS, MIF, NDUFA2, NOD2, OAS1, OAS2, OAS3, ORM1, ORM2, PF4, PSEN1, PYCARD, RASGRP1, RIPK1, RPSA, S100A8, S100A9, SPN, STAT3, SYK, THBS1, TIRAP, TLR4, TNFRSF8, TWIST1]","[EHHADH, STAT3, SYK]","","","","","","","","","[Group4]","[5, 6, 7, 8, 9]","{Group4=0.012340933502274802}","{Group4=0.012340933502274802}","GO:0032760","","positive%20regulation%20of%20tumor%20necrosis%20factor%20production","3","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","positive%20regulation%20of%20tumor%20necrosis%20factor%20production","positive regulation of tumor necrosis factor production","0.0024525894978592562","0.01226294748929628","","GO:0032760"
"4.494381904602051",,,"[AICDA, ATF7IP, BAHD1, BEND3, BMI1, CBX3, CDK2, CENPV, CGGBP1, COMMD3-BMI1, CREBZF, CTBP1, CTCF, DNMT1, DPEP2, EP300, EPC1, EZH2, FAM47E, FAM47E-STBD1, GLMN, GPX1, H1-0, H1-9P, H3C1, H3C10, H3C11, H3C12, H3C2, H3C3, H3C4, H3C6, H3C7, H3C8, HDAC1, HDAC4, HDAC5, HDAC6, HMGA2, HMGB1, IFI16, KDM1A, L3MBTL1, L3MBTL3, LRIF1, MACROH2A1, MACROH2A2, MBD2, MECP2, METTL3, MORC2, MPHOSPH8, MTA1, PADI2, PHF1, PHF2, PHF8, PPHLN1, PPM1D, RB1, RBM15, RBM15B, RLIM, RRP8, SAMD1, SETDB1, SIN3A, SIRT1, SIRT6, SMARCD1, SMCHD1, SPHK2, SPI1, SPTY2D1, SUV39H1, TASOR, TET1, TFAP2C, TNP1, TPR, TRIM27, TRIM28, VPS72, WBP2, YTHDC1, ZFP57, ZNF304, ZNF335, ZNF445]","[BMI1, H3C11, PHF1, RB1]","","","","","","","","","[Group5]","[5, 6, 7]","{Group5=8.211836249019164E-6}","{Group5=5.748285374313415E-5}","GO:0040029","","regulation%20of%20gene%20expression,%20epigenetic","4","GO_BiologicalProcess-EBI-UniProt-GOA-ACAP-ARAP_25.05.2022_00h00","FALSE","false","regulation%20of%20gene%20expression,%20epigenetic","regulation of gene expression, epigenetic","6.271553118860254E-4","0.006898708430746279","","GO:0040029"
