source_UniProtKB-Swiss-Prot,target_UniProtKB-Swiss-Prot
Q9H2S6,Q9NPE6
Q9H2S6,Q9BXK5
Q9H2S6,O60238
Q9H2S6,P20138
Q9H2S6,Q9UM44
Q9H2S6,Q5JX71
Q9H2S6,Q9HB07
Q9H2S6,P12314
Q9H2S6,Q96BA8
Q9H2S6,Q9BSE2
Q9H2S6,Q6P531
Q9H2S6,Q3SXY8
Q9H2S6,Q12983
Q9H2S6,Q86WK6
Q9H2S6,Q96A25
Q9H2S6,ENSG00000242019
O60762,P50222
O60762,P48775
Q8IZE3,P60520
Q8IZE3,Q99757
Q8IZE3,Q9H0R8
Q8IZE3,Q68G74
Q8IZE3,Q9Y4C2
Q9NSG2,Q7Z4N8
Q9BTY2,O96014
Q9BTY2,O14787
Q9BTY2,ENSG00000105991
Q9BTY2,P50222
Q9BTY2,Q7Z417
Q9BTY2,Q13526
Q9BTY2,Q96NT3
Q9BTY2,Q5T753
Q9BTY2,Q5T7P2
Q9BTY2,Q5TA78
Q9BTY2,Q2TAL6
Q9BTY2,Q6L8H2
Q9BTY2,Q5T7P3
Q9BTY2,Q701N4
Q9BTY2,Q9BQ66
Q9BTY2,P60331
P23511,Q92624
P23511,Q13952
P23511,P68400
P23511,P25208
P23511,P54253
P23511,Q96K80
P23511,Q14119
P23511,P14859
P23511,Q7Z3K3
P23511,Q9Y383
P23511,Q92997
P23511,P52655
P23511,Q8N9N5
P23511,Q2TAL8
P23511,Q9BZL1
P23511,Q9Y4C2
Q6P499,Q9NQG1
Q6P499,P11912
Q6P499,Q9NUH8
Q6P499,Q92838
Q6P499,Q3ZAQ7
Q6P499,Q8TED1
Q6P499,Q9GZY8
Q6P499,P27449
Q6P499,P36382
Q9Y6X5,Q9BVK8
Q9Y6X5,P55061
O00522,P61086
P43351,P43351
P43351,P50221
P43351,Q13952
P43351,O00505
P43351,P50222
P43351,Q9H4B4
P43351,Q02548
P43351,O15131
P43351,Q9NPI6
P43351,Q8NG50
Q92934,P35609
Q92934,Q15323
Q92934,Q92843
Q92934,Q07817
Q92934,P31947
Q92934,Q01844
P28838,P36508
P28838,Q9UPY8
P28838,P45973
P28838,Q92569
P28838,Q13185
P28838,Q8WWB5
P28838,P22415
P28838,Q15942
P28838,Q8N9N5
P14209,Q9UMX0
P19801,Q96K80
P19801,Q7Z3K3
P19801,Q01085
P19801,Q96HA8
P19801,O75593
P19801,Q8NBI2
P19801,O43711
P19801,Q6ZRY4
P19801,Q15038
P19801,Q8IUC2
Q76N89,Q5SQQ9
Q9Y6D9,Q9Y6D9
Q9Y6D9,P09917
Q9Y6D9,Q8TAP4
Q9Y6D9,Q9H1Y0
Q9Y6D9,Q92917
Q9Y6D9,Q8TBB1
Q9Y6D9,O76041
Q9Y6D9,Q8WXW3
Q9Y6D9,Q9HAQ2
Q9Y6D9,Q9Y2I6
Q9Y6D9,Q9BSW7
Q9Y6D9,Q9BW85
Q9Y6D9,Q16543
Q9Y6D9,Q96BZ8
Q9Y6D9,O76064
Q9Y6D9,Q9Y2J4
Q9Y6D9,Q07002
Q9Y6D9,Q3ZCW2
Q9Y6D9,Q8IYF3
Q9Y6D9,Q63HK5
Q9Y6D9,P25786
Q9Y6D9,Q9Y6W3
Q9Y6D9,Q5T7P8
Q9Y6D9,Q9Y4E8
Q9Y6D9,Q9BZW7
Q9Y6D9,Q14134
Q9Y6D9,Q9UGJ1
Q9Y6D9,P55081
Q9Y6D9,P09493
Q9Y6D9,Q9NX65
Q9Y6D9,O95995
Q9Y6D9,P06753
Q9Y6D9,Q6NYC8
Q9Y6D9,Q15233
Q9Y6D9,Q96CS2
Q9Y6D9,Q2TBE0
Q9Y6D9,Q96HA8
Q9Y6D9,Q99576
Q9Y6D9,Q9UM82
Q9Y6D9,Q8TC71
Q9Y6D9,Q13257
Q9Y6D9,Q9UL15
Q9Y6D9,P25800
Q9Y6D9,Q86YD7
Q9Y6D9,Q2TAC2
Q9Y6D9,O43247
Q9Y6D9,Q96AQ9
Q9Y6D9,Q9Y4C2
Q9Y6D9,Q8TD31
Q14847,Q92567
Q14847,P28340
Q14847,Q9NQL9
Q14847,P28069
Q14847,Q92625
Q14847,P78337
Q14847,Q9UQM7
Q14847,Q15645
Q14847,Q9NWB1
Q14847,Q8IWX8
Q14847,Q86UW9
Q14847,Q9UH03
Q14847,P25788
Q14847,P61970
Q14847,Q08AM6
Q14847,Q96GY0
Q14847,Q71SY5
Q14847,ENSG00000105991
Q14847,Q9BRK4
Q14847,P05813
Q14847,Q63HR2
Q14847,Q99750
Q14847,Q92734
Q14847,P32242
Q14847,P54253
Q14847,O75603
Q14847,Q9BXF9
Q14847,Q5TA45
Q14847,P51116
Q14847,Q5VV41
Q14847,Q9BQY4
Q14847,Q9NVV9
Q14847,O14503
Q14847,Q96K80
Q14847,O43597
Q14847,Q14119
Q14847,Q9H0F5
Q14847,Q99932
Q14847,Q96NT3
Q14847,Q8TBE0
Q14847,O95995
Q14847,P61968
Q14847,Q9BYJ9
Q14847,A1KXE4
Q14847,Q8N9W6
Q14847,Q96M29
Q14847,O95429
Q14847,Q93062
Q14847,O75593
Q14847,P0CG20
Q14847,Q7Z5V6
Q14847,Q8TDS5
Q14847,Q04864
Q14847,Q8WW24
Q14847,P53672
Q14847,O43711
Q14847,Q6ZRY4
Q14847,Q08379
Q14847,Q5T4B2
Q14847,Q96PV6
Q14847,Q3V5L5
Q14847,A5D8V6
Q14847,P52597
Q14847,Q03828
Q14847,Q8NEC5
Q14847,P07947
Q14847,Q6NVU6
Q14847,Q9H0L4
Q14847,Q13064
Q14847,Q9NWQ9
Q14847,Q9UI47
Q14847,Q15038
Q14847,Q13643
Q14847,O14964
Q14847,Q9NZC7
Q14847,Q3LI70
Q14847,Q3LI66
Q14847,Q3LI73
Q14847,P60410
Q14847,Q9UHD9
Q14847,O15162
Q14847,Q5BKX5
Q14847,Q86UR1
Q14847,P15884
Q14847,Q03989
Q14847,A8MQ03
Q14847,Q6PEX3
Q14847,Q2TAL8
Q14847,O94989
Q14847,P14373
Q14847,P86481
Q14847,P86496
Q14847,Q6PKX4
Q14847,A8MV65
Q14847,Q9BYR6
Q14847,Q9BYR7
Q14847,P60329
Q14847,Q96C00
Q14847,P86480
Q14847,P86479
Q14847,P86478
Q14847,Q7Z4W3
Q14847,Q9BYR5
Q14847,Q96EF6
Q9Y5W9,O75800
Q9Y5W9,Q9UI14
Q9Y5W9,Q96HR9
Q9Y5W9,Q8NB12
Q9Y5W9,Q8N987
Q9Y5W9,Q9NRG4
Q9Y5W9,Q3KP22
Q9Y5W9,Q15041
Q9Y5W9,O95070
Q9Y5W9,Q9NS64
Q96HP8,Q9HA82
Q96HP8,P11912
Q96HP8,Q3YBM2
Q96HP8,Q9NPL8
Q96HP8,Q9H2K0
Q96HP8,Q8NBJ4
Q96HP8,Q86VR2
Q96HP8,Q86SK9
Q96HP8,Q5SR56
Q96HP8,O95279
Q96HP8,O95470
Q96HP8,Q9Y320
P20645,Q9UNI6
P20645,Q86UP2
P20645,Q9NRQ5
P20645,Q9NZG7
P20645,Q96F15
Q05084,ENSG00000024862
Q05084,O95983
Q05084,P61019
Q05084,Q8WUD1
Q05084,Q8WYH8
Q92851,P98170
O15519,Q13077
P52756,P50221
P52756,O95822
P52756,P50222
Q9Y216,Q96QG7
Q9Y216,P51946
P84085,Q96HD9
P84085,Q8N9I9
Q9Y2S7,P13196
Q9Y2S7,Q9NQM4
Q9Y2S7,Q9Y6H1
Q9Y2S7,Q5JR59
Q9Y2S7,Q6RW13
Q9Y4D7,P09067
Q02790,Q92990
