source,target,source_UniProtKB-Swiss-Prot,target_UniProtKB-Swiss-Prot
ENSG00000001167,ENSG00000066136,P23511,Q13952
ENSG00000001167,ENSG00000120837,P23511,P25208
ENSG00000002016,ENSG00000002016,P43351,P43351
ENSG00000002330,ENSG00000129473,Q92934,Q92843
ENSG00000002330,ENSG00000171552,Q92934,Q07817
ENSG00000002330,ENSG00000175793,Q92934,P31947
ENSG00000002822,ENSG00000164109,Q9Y6D9,Q13257
ENSG00000004478,ENSG00000174842,Q02790,Q92990
ENSG00000004487,ENSG00000117625,O60341,Q9P2K3
ENSG00000006062,ENSG00000127191,Q99558,Q12933
ENSG00000006062,ENSG00000131323,Q99558,Q13114
ENSG00000006634,ENSG00000097046,Q9UBU7,O00311
ENSG00000007255,ENSG00000054116,O75865,O43617
ENSG00000008256,ENSG00000074706,O43739,Q8WWN9
ENSG00000010810,ENSG00000050820,P06241,P56945
ENSG00000011304,ENSG00000011304,P26599,P26599
ENSG00000011304,ENSG00000077312,P26599,P09012
ENSG00000012061,ENSG00000136936,P07992,P23025
ENSG00000013016,ENSG00000110047,Q9NZN3,Q9H4M9
ENSG00000013275,ENSG00000087191,P43686,P62195
ENSG00000013275,ENSG00000101843,P43686,O75832
ENSG00000013364,ENSG00000013364,Q14764,Q14764
ENSG00000015285,ENSG00000115935,P42768,O43516
ENSG00000015285,ENSG00000125733,P42768,Q15642
ENSG00000017797,ENSG00000144118,Q15311,P11234
ENSG00000025156,ENSG00000213024,Q03933,P37198
ENSG00000025800,ENSG00000273841,O60684,Q16594
ENSG00000026025,ENSG00000118898,P08670,O60437
ENSG00000026025,ENSG00000123143,P08670,Q16512
ENSG00000026025,ENSG00000136504,P08670,O95251
ENSG00000028528,ENSG00000129515,Q13596,Q9UNH7
ENSG00000029153,ENSG00000134852,Q8WYA1,O15516
ENSG00000029725,ENSG00000168118,Q15276,P20338
ENSG00000030110,ENSG00000143384,Q16611,Q07820
ENSG00000030110,ENSG00000171552,Q16611,Q07817
ENSG00000033327,ENSG00000177885,Q9UQC2,P62993
ENSG00000034693,ENSG00000162735,P56589,P40855
ENSG00000034713,ENSG00000068354,P60520,Q3MII6
ENSG00000034713,ENSG00000081307,P60520,Q9GZZ9
ENSG00000034713,ENSG00000117906,P60520,Q14257
ENSG00000034713,ENSG00000161011,P60520,Q13501
ENSG00000034713,ENSG00000164938,P60520,Q96A56
