WNT,SHH,Group 3,Group 4,WNT and Group 3,SHH and Group 3,Group 3 and Group 4,WNT and Group 3 and Group 4,WNT and SHH and Group 3 and Group 4
HOXDB13,NHLH1,ATP10A,EOMES,SMARCA4,TGFBR1,EZH2,LHX2,ZIC1
CSNK2B,BCOR,LHX9,SNCAIP,,,KDM5A,,ZIC4
NKD2,DMRTA1,LIN28B,ARID5B,,,KDM6A,,
DMRT2,INSM1,MYC,CUX2,,,KDM7A,,
NKD1,NCOR2,ANPRC,EN2,,,CHD7,,
LET7,PDLI3,RARX2,MYCN,,,KDM1A,,
RUNX2,ATOH1,HLX,LHX5,,,KDM4C,,
LEF1,GLI2,IRX8,SIX2,,,KDM5B,,
TP53,SUFU,CRX,STAT5A,,,ZMYM3,,
HOXDB,LDB1,GABRA3,POU2F1,,,KDM3A,,
MAF,PBX1,GABRA5,AKT,,,,,
PAX3,SOX13,SMAD9,BARHL1,,,,,
TENA,SMO,GBRA5,OTX2,,,,,
EMX2,NFATC1,IMPG2,ZNF513,,,,,
ONECUT2,SOX2,,HLF,,,,,
MSX2,PCNT,,LMX1A,,,,,
CTNNB1,PTCH1,,MLL3,,,,,
DDX3X,YAP1,,TBR1,,,,,
,RARB,,UNCX,,,,,
,BBX,,LHX1,,,,,
,CEBPA,,UNC5D,,,,,
,POU3F3,,SIX6,,,,,
,TCF12,,ZNF35,,,,,
,,,KHDR2,,,,,
,,,ERK,,,,,
,,,EOMES/TBR2,,,,,
