WNT,SHH,Group 3,Group 4,WNT and SHH,WNT and Group 3,WNT and Group 4,SHH and Group 3,SHH and Group 4,Group 3 and Group 4
OPRD1,CYFIP1,PARP12,MAP3K2,HSPB2,NDUFAF5,TLE1,PPIL6,UBE2L6,AHI1
CCDC181,CNR1,USH2A,AC004017.1,CCSER2,EML4,CXADR,FOXO6,KLF12,FOXG1
ST8SIA3,RPS8,AGBL1,RGS7,TSEN15,JTB,ADCYAP1R1,TMEM243,NOVA2,LHX4
RASL10B,RND3,TRIM58,RAB9B,CTDSPL,NUBPL,PCSK1N,CDCA7,NTN4,SLC35F2
PRRT3,PAX6,TRAF3IP2,HIST1H2BE,OSTC,ZFPM2,HPCAL1,NT5DC1,SPECC1,NAPB
RAMP3,RPL21,ZNF703,MARK4,NOTCH2,TAL2,MOBP,FBXO16,PELI2,FBXO6
FGF20,DSCAM,CDC40,HAGH,SYT11,STX3,SCN2A,HDDC2,MARCKS,SLC22A23
CD44,NEO1,DST,C4orf33,FCHSD1,TMEM64,TTC9,CCNC,MED12L,SPATA20
FAM43A,METTL9,PAPPA2,SNCAIP,CCDC109B,CALR,NEUROG1,NSMCE2,ACPL2,HDHD2
STC2,FABP7,NXPH4,PCDH17,HMG20B,FAM84B,NUAK1,,CELF2,SNTB2
ATOH8,TNFRSF18,ZNF77,DFNA5,SMO,BET1,SLC24A2,,B4GALNT1,KLHL29
ANXA6,TTLL1,C1D,NRXN2,AJUBA,GORASP2,CLCN4,,TUBB3,ARHGAP15
NXPH3,IL17RB,RD3,SIM1,AKAP6,ZNF385B,TRPM3,,CAMK2N1,REPS1
MID1,HRK,ATP2B3,IGSF21,JOSD2,MMAB,ABHD4,,ATCAY,SFXN1
PDGFRA,FMNL3,BCL11B,TMEM255A,METTL7A,SND1,ST8SIA2,,SH3GL2,NTF3
ARAP2,ACTR3B,MC4R,PDE4D,C5orf38,POLE4,ABCC8,,PTPRS,ALDH5A1
CCDC36,AIFM1,PLSCR2,BLCAP,FOXL2,CERS4,,,CABYR,CUL1
LEF1,PSME1,IGF2BP1,EEFSEC,SYT1,FAM174B,,,KIAA1549L,COX11
JPH1,CRIP2,ABCG4,TMEM132E,THBS3,STOM,,,PSD3,IGDCC3
GALNT7,MDFI,FAM184A,ADCY5,PGM2,PEX2,,,ARHGAP21,SLC6A8
TGIF1,GLDC,PRKG2,GLTPD1,PHGDH,BMF,,,KCNMB4,CHD3
FGF18,PCYOX1L,FAM169A,ABHD17C,SLC9B2,BSG,,,PAK3,TLE2
ADAMTS1,F3,PDC,LHX2,SCHIP1,EPHA2,,,AC004381.6,KCNB2
TBX2,CATSPERG,CACNA1G,PITHD1,ZDHHC13,EOGT,,,FANCB,KDM1B
CRB2,LAMC1,KCNH1,GRIK4,RPL36,CRADD,,,TBC1D2B,MESP1
GADD45A,YBEY,KIRREL2,RASAL1,KCTD17,SLC30A5,,,APC2,SRRM4
GDE1,EYA1,NPR3,CIRH1A,MFNG,ZC3HAV1L,,,NKAIN1,SCMH1
NGF,DTWD1,RGS16,RASSF8,MXI1,RAPGEF5,,,,HOMER1
CTSH,KIRREL,GRAMD1B,C11orf63,IL17RC,TMEM38B,,,,RNFT1
GPR124,ADCYAP1,C1orf27,ABL1,ETV6,AGPAT2,,,,PNMA3
PAPSS1,ZNF395,MBLAC2,TMUB2,PLCB4,,,,,PRUNE
TSPAN9,THEMIS2,SSX2IP,BTBD9,SOX9,,,,,CCDC24
HS3ST3B1,NDUFS5,BCOR,NPY1R,DCTD,,,,,FLRT1
ARHGAP32,A4GALT,GPR61,CAMTA1,WWTR1,,,,,ATP6V1H
SYT9,KRT31,DYRK2,FAM21C,EVC2,,,,,EVL
STIM2,ZNF85,IFT43,DCX,PSMB10,,,,,HCFC2
ADAMTS20,PAWR,RD3L,DACH1,RCBTB2,,,,,RREB1
NFYB,ZNF277,DENND2C,CPNE4,EMP3,,,,,FOCAD
S100A6,MANEA,EIF1B,NRF1,C11orf54,,,,,SAYSD1
SMAD3,CXXC11,MALSU1,CCDC171,TMEM123,,,,,NPEPPS
PTPRT,ADAMTS12,CDKAL1,DNAJB6,SSR2,,,,,GLT1D1
SELENBP1,FAM110D,CAV1,C10orf85,NFATC4,,,,,PTPRO
RGN,TBX18,PDHB,KCNIP2,NR2F1,,,,,PIEZO1
EFNA5,FANCL,C7orf73,SPPL3,APOL4,,,,,SLMO1
PRMT8,PARP9,SLC35B4,FLJ30594,ARHGEF10,,,,,MAP10
CD226,NGEF,IQGAP2,SYCP2,STAMBPL1,,,,,OTX2
ECEL1,HSPA12A,FKBP5,PLXNA1,PID1,,,,,LMBRD1
BAMBI,NCAPG,ERLIN1,RRAS2,NTN1,,,,,RCAN1
AP3S2,DNTT,ANKRD33B,PTHLH,ANXA5,,,,,IQCE
VLDLR,FAM126A,TRAPPC5,FREM3,SUCLG2,,,,,SLC25A4
RP11-834C11.12,DERA,NANS,KIAA2022,EMILIN1,,,,,AMOTL2
SUSD1,AC005358.1,BCMO1,DIRC2,RHOB,,,,,KCTD21
DOCK1,NFATC1,LARGE,PPM1L,ZFP36L1,,,,,DEGS1
KCNH5,ATP2B4,ZNF330,LPPR3,GLI3,,,,,CNTN1
AVEN,SPATC1L,RASEF,C3orf70,GPC1,,,,,ASB8
FOXD1,GRIK3,TMEM38A,KLHL13,TEAD2,,,,,MAPRE2
GPR19,FAM155B,GABRA5,DPYSL4,KIAA1755,,,,,HEATR6
