WNT,SHH,Group 3,Group 4,WNT and Group 3,SHH and Group 3,Group 3 and Group 4,WNT and Group 3 and Group 4,WNT and SHH and Group 3 and Group 4
CSNK2B,DMRTA1,GABRA5,POU2F1,SMARCA4,TGFBR1,CHD7,LHX2,ZIC1
LEF1,BCOR,IMPG2,LHX1,,,KDM5A,,ZIC4
TP53,SMO,ANPRC,SIX2,,,KDM4C,,
PAX3,NHLH1,RARX2,LHX5,,,ZMYM3,,
HOXDB13,YAP1,MYC,ZNF35,,,EZH2,,
CTNNB1,LDB1,CRX,BARHL1,,,KDM6A,,
NKD2,PCNT,LIN28B,MLL3,,,KDM1A,,
NKD1,NFATC1,GBRA5,STAT5A,,,KDM3A,,
ONECUT2,SOX13,SMAD9,UNCX,,,KDM7A,,
EMX2,SUFU,LHX9,MYCN,,,KDM5B,,
MAF,ATOH1,ATP10A,ARID5B,,,,,
MSX2,PTCH1,IRX8,EN2,,,,,
LET7,CEBPA,HLX,SIX6,,,,,
DDX3X,INSM1,GABRA3,ERK,,,,,
TENA,GLI2,,TBR1,,,,,
DMRT2,NCOR2,,OTX2,,,,,
RUNX2,RARB,,HLF,,,,,
HOXDB,PDLI3,,CUX2,,,,,
,SOX2,,ZNF513,,,,,
,POU3F3,,LMX1A,,,,,
,PBX1,,AKT,,,,,
,TCF12,,SNCAIP,,,,,
,BBX,,UNC5D,,,,,
,,,EOMES,,,,,
,,,KHDR2,,,,,
,,,EOMES/TBR2,,,,,
