Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
0,AAED1,0.546153846153846,A4GALT,0.676153846153846,ABCB8,0.574615384615385,AACS,0.74
1,ABCC8,0.722307692307692,AAED1,0.546153846153846,ABCG4,0.739230769230769,ABCC8,0.722307692307692
2,ABCD2,0.750769230769231,AASS,0.640769230769231,ABT1,0.560769230769231,ABCC9,0.779230769230769
3,ABHD4,0.527692307692308,ABCB4,0.524615384615385,AC016559.1,0.736923076923077,ABHD17C,0.583076923076923
4,AC007405.2,0.781538461538462,ABCB9,0.717692307692308,AC026703.1,0.889230769230769,ABHD4,0.527692307692308
5,AC010441.1,0.582307692307692,ABLIM3,0.782307692307692,ACADS,0.55,ABL1,0.538461538461539
6,AC024592.12,0.538461538461539,ABTB2,0.774615384615385,ACTR1B,0.509230769230769,ABL2,0.619230769230769
7,AC069368.3,0.735384615384615,AC004381.6,0.492307692307692,ACVR2A,0.740769230769231,ABLIM1,0.594615384615385
8,AC092675.3,0.827851525219546,AC005358.1,0.656923076923077,ADIPOR2,0.490769230769231,ABRACL,0.764615384615385
9,AC096677.1,0.803846153846154,AC011897.1,0.743846153846154,AES,0.495384615384615,AC004017.1,0.694615384615385
10,ACCS,0.670769230769231,ACPL2,0.843846153846154,AFF1,0.733846153846154,AC004381.6,0.492307692307692
11,ACE,0.737692307692308,ACTR3B,0.696153846153846,AGBL1,0.840769230769231,AC008060.7,0.883076923076923
12,ACKR3,0.851538461538462,ADAM23,0.896923076923077,AGPAT2,0.583076923076923,AC012215.1,0.938461538461539
13,ACSL6,0.724615384615385,ADAMTS12,0.8,AHI1,0.760769230769231,ACHE,0.515384615384615
14,ADAM11,0.725384615384615,ADAMTS14,0.680769230769231,AKIRIN1,0.52,ACPL2,0.843846153846154
15,ADAM12,0.587692307692308,ADAMTS15,0.518461538461538,AKNA,0.720769230769231,ACVR1,0.865384615384615
16,ADAM19,0.756153846153846,ADAMTS6,0.584615384615385,AKR1E2,0.740769230769231,ADCY1,0.811538461538462
17,ADAMTS1,0.708461538461538,ADCY8,0.624615384615385,ALDH4A1,0.757692307692308,ADCY5,0.674615384615385
18,ADAMTS20,0.732307692307692,ADCYAP1,0.924615384615385,ALDH5A1,0.632307692307692,ADCYAP1R1,0.711538461538462
19,ADAMTS5,0.743076923076923,ADK,0.651538461538462,ALKBH3,0.563846153846154,AES,0.495384615384615
20,ADAMTSL1,0.597692307692308,AFF3,0.843076923076923,ALS2CR12,0.823076923076923,AFF2,0.795384615384615
21,ADCYAP1R1,0.711538461538462,AIFM1,0.683846153846154,AMN1,0.653076923076923,AGTR1,0.878461538461539
22,ADORA1,0.625384615384615,AJUBA,0.628461538461538,AMOTL2,0.594615384615385,AHI1,0.760769230769231
23,AGPAT2,0.583076923076923,AKAP6,0.824615384615385,ANKRD33B,0.822307692307692,AIF1L,0.856923076923077
24,AHCY,0.655384615384615,AL009178.1,0.735141386939848,ANKRD37,0.699230769230769,AKR1C1,0.851538461538462
