Gene,Group,Correlation
FAM65B,Group4,0.979230769230769
ZFPM2,WNT,0.957692307692308
ZFPM2,Group3,0.957692307692308
PLCH1,SHH,0.955384615384615
SIX6,Group4,0.955350552521509
SNCAIP,Group4,0.950769230769231
FOXG1,Group4,0.947956641873348
FOXG1,Group3,0.947956641873348
MYCL,SHH,0.947692307692308
SLC10A4,Group4,0.947692307692308
DMRTA1,SHH,0.945384615384615
CNPY1,Group4,0.945384615384615
EN2,Group4,0.943846153846154
FSTL5,Group3,0.942307692307692
PAPPA2,Group3,0.941538461538462
IMPG2,Group3,0.941538461538462
OR2W3,Group3,0.941334889503824
GALNT14,WNT,0.940769230769231
LRIG3,WNT,0.939230769230769
PTPRO,Group4,0.939230769230769
PTPRO,Group3,0.939230769230769
KIAA1239,Group4,0.938461538461539
UNC5D,Group4,0.938461538461539
AC012215.1,Group4,0.938461538461539
ZIC2,WNT,0.936923076923077
TRIM58,Group3,0.934615384615385
EYA2,Group3,0.934615384615385
ANO2,Group3,0.933846153846154
FAM174B,WNT,0.932307692307692
FAM174B,Group3,0.932307692307692
ENC1,Group4,0.931538461538462
RP11-127H5.1,Group3,0.930769230769231
GUCY2D,Group3,0.930769230769231
SATB2,SHH,0.93
RAI2,WNT,0.929230769230769
APCDD1,WNT,0.928461538461538
HIST1H4F,Group4,0.927692307692308
FEZF1,Group4,0.927420040126835
DOK6,Group4,0.926923076923077
TAL2,WNT,0.926923076923077
TAL2,Group3,0.926923076923077
DOK6,Group3,0.926923076923077
CAMK2N1,SHH,0.925384615384615
TCERG1L,SHH,0.925384615384615
CAMK2N1,Group4,0.925384615384615
DRD2,SHH,0.925384615384615
RD3,Group3,0.925384615384615
ADCYAP1,SHH,0.924615384615385
PPP2R2B,Group3,0.923846153846154
LDLRAD4,Group3,0.923076923076923
KCNA5,Group3,0.921538461538462
GSG1L,Group4,0.921538461538462
SEMA3A,Group4,0.921538461538462
KCNA5,Group4,0.921538461538462
EYS,Group3,0.921538461538462
ISLR2,Group4,0.921538461538462
LINGO2,Group4,0.920769230769231
SMARCD3,Group3,0.92
AP000783.1,Group3,0.92
RALYL,Group4,0.919230769230769
LPPR5,Group3,0.919230769230769
PDE10A,SHH,0.918461538461539
