Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
0,AHCY,0.655384615384615,PBX3,0.694615384615385,SUMO3,0.52,KLHL13,0.770769230769231
1,PRELID2,0.722307692307692,ADAMTS14,0.680769230769231,TRAF3IP2,0.706153846153846,CSRP2,0.833846153846154
2,CDPF1,0.557692307692308,B4GALT5,0.653076923076923,SEMA3C,0.885384615384615,NIPAL3,0.690769230769231
3,EEPD1,0.515384615384615,KLHL4,0.832307692307692,DMD,0.867692307692308,NAB1,0.492307692307692
4,OSBPL3,0.683076923076923,CEND1,0.578461538461538,ISL2,0.671285803222205,CERS1,0.711538461538462
5,PRRX1,0.559230769230769,DMRTA1,0.945384615384615,AP000783.1,0.92,SLC8A3,0.522307692307692
6,DNAJC27,0.507692307692308,C1QL1,0.513076923076923,ZNF433,0.663076923076923,TRIM24,0.555384615384615
7,TRABD2A,0.528461538461539,ELAVL4,0.873846153846154,DIRAS2,0.643846153846154,PAPPA,0.572307692307692
8,DOK5,0.844615384615385,NYAP1,0.773846153846154,RRP9,0.526153846153846,CDK14,0.835384615384615
9,OBSL1,0.668461538461539,PLEKHG4B,0.73,KCNC4,0.725384615384615,PLCL2,0.795384615384615
10,MSX2,0.713846153846154,CATSPERG,0.571538461538462,GLIPR2,0.849230769230769,PXK,0.489230769230769
11,DLG1,0.590769230769231,CRB1,0.684615384615385,ARL6,0.85,CAMTA1,0.762307692307692
12,ADAM12,0.587692307692308,CEBPA,0.573846153846154,FANCF,0.869230769230769,ATP6V0A2,0.729230769230769
13,CACHD1,0.759230769230769,NDUFS4,0.681538461538462,REL,0.650769230769231,FAM21C,0.548461538461538
14,KIRREL3,0.675384615384615,RPL14,0.733846153846154,MAP4,0.503846153846154,MPPED1,0.800769230769231
15,FGFRL1,0.606153846153846,NDST3,0.846153846153846,RIMS2,0.755384615384615,KCTD1,0.713076923076923
16,TSPAN5,0.647692307692308,FAM126A,0.779230769230769,TRAPPC5,0.488461538461538,PTPRN2,0.786923076923077
17,TCIRG1,0.528461538461539,TMEM144,0.747692307692308,N4BP3,0.531538461538462,RP11-508N12.4,0.741538461538461
18,CCDC80,0.565384615384615,CYFIP1,0.748461538461538,RP1,0.844615384615385,TCEAL6,0.756153846153846
19,IFI27,0.537692307692308,ALDH1L2,0.658461538461538,C1orf173,0.828461538461538,HOXC13,0.549934473384021
20,OXSM,0.615384615384615,RFTN2,0.504615384615385,MCM9,0.579230769230769,KCNH8,0.656923076923077
21,FRMD6,0.559230769230769,PABPC1,0.513846153846154,DYX1C1,0.580769230769231,MMD2,0.657692307692308
22,FAM13C,0.676923076923077,METTL9,0.556153846153846,GUCY2D,0.930769230769231,SLC9A6,0.533076923076923
23,APMAP,0.493846153846154,UCHL1,0.526923076923077,WASF1,0.561538461538462,NSFL1C,0.613846153846154
24,SIL1,0.693846153846154,NDUFS5,0.523846153846154,ARR3,0.907901492610911,CEP120,0.528461538461539
25,KLF15,0.563846153846154,ABCB4,0.524615384615385,RXRG,0.766153846153846,DTNA,0.571538461538462
26,PRPH,0.763846153846154,CACNG7,0.816153846153846,PRICKLE2,0.816153846153846,MGAT5,0.812307692307692
27,RGN,0.728461538461538,PIRT,0.681538461538462,C1D,0.582307692307692,TSPAN2,0.767692307692308
28,DDC,0.70782844163753,EDA2R,0.736153846153846,TTLL5,0.725384615384615,RPH3A,0.827692307692308
29,DNMBP,0.519230769230769,TRAK1,0.602307692307692,CASZ1,0.698461538461539,KLHDC10,0.651538461538462
30,SMAD3,0.496923076923077,IGFBP6,0.536153846153846,MAPKAPK5,0.719230769230769,GPR12,0.906923076923077
31,CTNNA1,0.652307692307692,EP400,0.726153846153846,SLC43A2,0.710769230769231,ERC1,0.760769230769231
32,DEFA5,0.544538792347756,CSNK1E,0.534615384615385,PVRL1,0.673076923076923,PCDHB7,0.827692307692308
33,LRRTM1,0.568461538461538,OXSR1,0.531538461538462,NUDT14,0.613076923076923,NRN1,0.670769230769231
34,TNFRSF11B,0.583846153846154,SLC4A8,0.865384615384615,SLC6A9,0.590769230769231,TRMT11,0.683846153846154
35,S100A11,0.501538461538462,RAB26,0.657692307692308,IMPDH1,0.591538461538462,RGS7,0.573076923076923
36,FBN1,0.487692307692308,ITGBL1,0.633076923076923,PSMB5,0.516923076923077,CPEB2,0.643846153846154
37,SDK1,0.786153846153846,POLR1D,0.7,RTN4RL1,0.663846153846154,KCTD8,0.822307692307692
38,C20orf196,0.599230769230769,NLGN1,0.89,AC016559.1,0.736923076923077,PRKACB,0.723846153846154
39,GAREM,0.553076923076923,ZC3H12C,0.523076923076923,VASH1,0.612307692307692,NIM1,0.867692307692308
40,TTC6,0.676923076923077,ABLIM3,0.782307692307692,TRPC7,0.760695053656171,SHB,0.62
41,PDIA2,0.776153846153846,MRPS12,0.53,PROSER2,0.509230769230769,GRIK4,0.87
42,PKP4,0.718461538461538,PPP1R17,0.506923076923077,ANKRD37,0.699230769230769,LONRF2,0.858461538461538
43,FGFR1,0.549230769230769,MZT2A,0.626153846153846,B9D2,0.69,PIP4K2A,0.783846153846154
44,SHC1,0.771538461538462,UBE2QL1,0.813846153846154,MCF2L2,0.74,TMEM30A,0.595384615384615
45,COL23A1,0.623846153846154,ITGA7,0.79,RBM23,0.655384615384615,KCNIP2,0.54
46,DSCR8,0.749291163009122,ISPD,0.773076923076923,GUCA1C,0.687367856034893,KIAA0930,0.63
47,FREM2,0.839230769230769,ITPK1,0.617692307692308,RRP15,0.548461538461538,ARHGEF10L,0.513076923076923
48,HDLBP,0.498461538461538,PRKCZ,0.745384615384615,AFF1,0.733846153846154,RPGRIP1,0.8
49,CHST8,0.504615384615385,NABP1,0.766153846153846,YRDC,0.571538461538462,TENM4,0.880769230769231
50,TYW3,0.759230769230769,SYPL1,0.583076923076923,TRAK2,0.743846153846154,CTD-2116N17.1,0.552307692307692
51,ATF3,0.810769230769231,ZNF395,0.499230769230769,CCIN,0.753076923076923,DLG3,0.71
52,ECEL1,0.696923076923077,CACNG4,0.690769230769231,LRRTM2,0.747692307692308,DLX5,0.520769230769231
53,SLFN11,0.771538461538462,ABCB9,0.717692307692308,USP2,0.874615384615385,STX1B,0.548461538461538
54,CRLS1,0.521538461538462,HIST3H2A,0.75,ATP2B3,0.755914612944428,GNA11,0.683846153846154
55,FRMPD2,0.828461538461538,PLCXD3,0.764615384615385,MRPS6,0.533846153846154,MEIS2,0.902307692307692
56,GSS,0.577692307692308,EXOC3L1,0.687692307692308,ALS2CR12,0.823076923076923,SETMAR,0.576923076923077
57,ZIC5,0.916923076923077,CYP11A1,0.801538461538462,BRIX1,0.486923076923077,SAMD14,0.506923076923077
58,GPC6,0.776923076923077,SH3BGRL3,0.743846153846154,ZADH2,0.657692307692308,TTC3,0.536153846153846
59,XYLT2,0.598461538461538,PLEKHA6,0.759230769230769,EYS,0.921538461538462,LPAR4,0.896923076923077
60,PRICKLE1,0.623846153846154,SDC2,0.783076923076923,ARHGAP44,0.508461538461539,RASAL1,0.795384615384615
61,PCDH8,0.535384615384615,TSPAN12,0.606153846153846,SLC5A8,0.864871311358914,SLC6A3,0.827692307692308
