Perturbation	Response excess over subset
[PI]-[PD]	-0.44908280199933454
[PI]-[CT]	0.0
[PI]-[BI]	-0.5439052933033108
[PI]-[PK]	-0.37633784923479063
[PI]-[AK]	0.0
[PI]-[5Z]	-0.08783541834280029
[PD]-[CT]	0.0
[PD]-[BI]	-0.5149439399974216
[PD]-[PK]	-1.2244838579171802
[PD]-[AK]	-0.949392981344493
[PD]-[5Z]	-0.06867110522216868
[CT]-[BI]	0.0
[CT]-[PK]	-0.08111073737969832
[CT]-[AK]	0.0
[CT]-[5Z]	-0.03707147352953566
[BI]-[PK]	-0.5193094681758063
[BI]-[AK]	-0.33229706992285646
[BI]-[5Z]	0.0
[PK]-[AK]	-1.3899986786974168
[PK]-[5Z]	-0.031234522291197997
[AK]-[5Z]	-0.03138169619319814
