"SIGNOR ID";"PROT. FAMILY NAME";"LIST OF ENTITIES"
SIGNOR-PF1;ERK1/2;"P27361,  P28482"
SIGNOR-PF2;LPAR;"Q92633,  Q9HBW0,  Q9UBY5"
SIGNOR-PF3;Ggamma;"O14610,  O60262,  P50150,  P50151,  P59768,  P61952,  P63211,  P63215,  P63218,  Q9P2W3,  Q9UBI6,  Q9UK08"
SIGNOR-PF4;Gbeta;"O14775,  P16520,  P62873,  P62879,  Q9HAV0"
SIGNOR-PF5;TGFb;"P01137,  P10600,  P61812"
SIGNOR-PF7;14-3-3;"P27348,  P31946,  P31947,  P61981,  P62258,  P63104,  Q04917"
SIGNOR-PF11;Frizzled;"O00144,  O60353,  O75084,  Q13467,  Q14332,  Q9H461,  Q9NPG1,  Q9ULV1,  Q9ULW2,  Q9UP38"
SIGNOR-PF13;PAK;"Q13153,  Q13177"
SIGNOR-PF14;ROBO;"Q8WZ75,  Q96MS0,  Q9HCK4,  Q9Y6N7"
SIGNOR-PF15;JNK;"P45983,  P45984,  P53779"
SIGNOR-PF16;p38;"O15264,  P53778,  Q15759,  Q16539"
SIGNOR-PF17;PKA;"P17612,  P22612,  P22694"
SIGNOR-PF18;PP2B;"P16298,  P48454,  Q08209"
SIGNOR-PF20;TLRs;"O00206,  O15455,  O60602,  O60603,  Q15399,  Q9BXR5,  Q9NR96,  Q9NR97,  Q9NYK1,  Q9Y2C9"
SIGNOR-PF21;TAOK;"Q7L7X3,  Q9H2K8,  Q9UL54"
SIGNOR-PF22;TEAD;"P28347,  Q15561,  Q15562,  Q99594"
SIGNOR-PF24;AKT;"P31749,  P31751,  Q9Y243"
SIGNOR-PF25;MEK1/2;"P36507,  Q02750"
SIGNOR-PF26;RPS6K;"O75582,  O75676,  P51812,  Q15349,  Q15418"
SIGNOR-PF27;FOXO;"A8MYZ6,  O43524,  P98177,  Q12778"
SIGNOR-PF29;SMURF;"Q9HAU4,  Q9HCE7"
SIGNOR-PF30;NOTCH;"P46531,  Q04721,  Q99466,  Q9UM47"
SIGNOR-PF31;"SLRP ";"O94769,  P07585,  P20774,  P21810,  P51884,  Q99983,  Q9BXN1,  Q9GZU5"
SIGNOR-PF32;SRC_kinase_family;"P06239,  P06241,  P07947,  P07948,  P08631,  P09769,  P12931,  P42685,  P51451"
