WNT,SHH,Group 3,Group 4,WNT and Group 3,SHH and Group 3,Group 3 and Group 4,WNT and Group 3 and Group 4,WNT and SHH and Group 3 and Group 4
CSNK2B,ATOH1,HLX,BARHL1,SMARCA4,TGFBR1,CHD7,LHX2,ZIC4
DDX3X,CEBPA,MYC,UNCX,,,ZMYM3,,ZIC1
RUNX2,TCF12,GABRA5,SIX2,,,KDM7A,,
TP53,SOX2,CRX,EOMES,,,KDM6A,,
ONECUT2,YAP1,IMPG2,LHX5,,,KDM3A,,
NKD1,SMO,ANPRC,TBR1,,,KDM1A,,
EMX2,PTCH1,SMAD9,AKT,,,KDM5B,,
CTNNB1,GLI2,LIN28B,SNCAIP,,,KDM4C,,
NKD2,PCNT,RARX2,SIX6,,,EZH2,,
TENA,PDLI3,GBRA5,MLL3,,,KDM5A,,
HOXDB13,BCOR,LHX9,OTX2,,,,,
DMRT2,BBX,ATP10A,ARID5B,,,,,
LET7,POU3F3,GABRA3,MYCN,,,,,
LEF1,LDB1,IRX8,ZNF513,,,,,
PAX3,SOX13,,LHX1,,,,,
MSX2,NFATC1,,CUX2,,,,,
HOXDB,RARB,,KHDR2,,,,,
MAF,DMRTA1,,EN2,,,,,
,PBX1,,EOMES/TBR2,,,,,
,NHLH1,,UNC5D,,,,,
,SUFU,,LMX1A,,,,,
,INSM1,,ZNF35,,,,,
,NCOR2,,STAT5A,,,,,
,,,ERK,,,,,
,,,HLF,,,,,
,,,POU2F1,,,,,
