TYPE,NAME
Protein,EMX2
Protein,CTNNB1
Protein,TENA
MasterReg,ZIC1
MasterReg,ZIC4
MasterReg,NKD1
MasterReg,NKD2
MasterReg,LET7
GeneMutation,CTNNB1
GeneMutation,DDX3X
GeneMutation,CTNNB1
GeneMutation,DDX3X
GeneMutation,TP53
GeneMutation,SMARCA4
GeneMutation,CSNK2B
TF,MAF
TF,LHX2
TF,EMX2
TF,LEF1
TF,PAX3
TF,ONECUT2
TF,RUNX2
TF,MSX2
TF,HOXDB
TF,DMRT2
TF,LEF1
TF,RUNX2
TF,HOXDB13
TF,MSX2
TF,MAF
Protein,ATOH1
Protein,PDLI3
Protein,YAP1
Protein,TGFBR1
MasterReg,ZIC1
MasterReg,ZIC4
MasterReg,PCNT
MasterReg,GLI2
GeneMutation,PTCH1
GeneMutation,PTCH1
GeneMutation,SUFU
GeneMutation,GLI2
GeneMutation,SMO
GeneMutation,BCOR
GeneMutation,LDB1
GeneMutation,NCOR2
TF,NFATC1
TF,PBX1
TF,ATOH1
TF,SOX2
TF,RARB
TF,SOX13
TF,BBX
TF,POU3F3
TF,DMRTA1
TF,CEBPA
TF,DMRTA1
TF,ATOH1
TF,SOX2
TF,SOX13
TF,RARB
TF,PBX1
TF,NHLH1
TF,TCF12
TF,INSM1
Protein,GBRA5
Protein,IMPG2
Protein,ANPRC
Protein,MYC
MasterReg,TGFBR1
MasterReg,SMAD9
MasterReg,ZIC1
MasterReg,ZIC4
MasterReg,MYC
MasterReg,LIN28B
MasterReg,HLX
MasterReg,LHX2
MasterReg,ATP10A
MasterReg,GABRA3
MasterReg,GABRA5
GeneMutation,SMARCA4
GeneAmplification,MYC
GeneMutation,SMARCA4
GeneMutation,KDM1A
GeneMutation,KDM3A
GeneMutation,KDM5A
GeneMutation,KDM5B
GeneMutation,KDM4C
GeneMutation,KDM7A
GeneMutation,KDM6A
GeneMutation,EZH2
GeneMutation,CHD7
GeneMutation,ZMYM3
TF,CRX
TF,IRX8
TF,HLX
TF,LHX9
TF,RARX2
TF,HLX
Gene,SMAD9
Protein,EOMES
Protein,UNC5D
Protein,KHDR2
MasterReg,ZIC1
MasterReg,ZIC4
MasterReg,BARHL1
MasterReg,OTX2
MasterReg,LMX1A
MasterReg,SNCAIP
MasterReg,LHX2
GeneMutation,KDM6A
TF,TBR1
TF,EOMES/TBR2
GeneAmplification,MYCN
GeneMutation,MLL3
GeneMutation,KDM1A
GeneMutation,KDM3A
GeneMutation,KDM5A
GeneMutation,KDM5B
GeneMutation,KDM4C
GeneMutation,KDM7A
GeneMutation,KDM6A
GeneMutation,EZH2
GeneMutation,CHD7
GeneMutation,ZMYM3
TF,EN2
TF,POU2F1
TF,LHX2
TF,UNCX
TF,LHX5
TF,LMX1A
TF,CUX2
TF,ARID5B
TF,EOMES
TF,SIX6
TF,SIX2
TF,LHX2
TF,ZNF35
TF,LMX1A
TF,LHX5
TF,HLF
TF,STAT5A
TF,LHX1
TF,EOMES
TF,ZNF513
