,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
0,GALNT14,0.940769230769231,PLCH1,0.955384615384615,FSTL5,0.942307692307692,FAM65B,0.979230769230769
1,LRIG3,0.939230769230769,MYCL,0.947692307692308,PAPPA2,0.941538461538462,SIX6,0.955350552521509
2,ZIC2,0.936923076923077,DMRTA1,0.945384615384615,IMPG2,0.941538461538462,SNCAIP,0.950769230769231
3,RAI2,0.929230769230769,SATB2,0.93,OR2W3,0.941334889503824,SLC10A4,0.947692307692308
4,APCDD1,0.928461538461538,TCERG1L,0.925384615384615,TRIM58,0.934615384615385,CNPY1,0.945384615384615
5,ZIC5,0.916923076923077,DRD2,0.925384615384615,EYA2,0.934615384615385,EN2,0.943846153846154
6,DSC2,0.915384615384615,ADCYAP1,0.924615384615385,ANO2,0.933846153846154,AC012215.1,0.938461538461539
7,ZMAT4,0.909230769230769,PDE10A,0.918461538461539,RP11-127H5.1,0.930769230769231,KIAA1239,0.938461538461539
8,RTKN,0.909230769230769,PTPRK,0.913076923076923,GUCY2D,0.930769230769231,UNC5D,0.938461538461539
9,RASL11B,0.906923076923077,LRRC16A,0.911538461538462,RD3,0.925384615384615,ENC1,0.931538461538462
10,LHX8,0.906153846153846,POU3F3,0.908461538461539,PPP2R2B,0.923846153846154,HIST1H4F,0.927692307692308
11,SP5,0.904615384615385,PTX3,0.906153846153846,LDLRAD4,0.923076923076923,FEZF1,0.927420040126835
12,EMID1,0.903076923076923,PLXNC1,0.903846153846154,EYS,0.921538461538462,ISLR2,0.921538461538462
13,MEIS1,0.902307692307692,GREB1L,0.901538461538462,AP000783.1,0.92,GSG1L,0.921538461538462
14,GGACT,0.899230769230769,NTRK3,0.900769230769231,SMARCD3,0.92,SEMA3A,0.921538461538462
15,CDKN1C,0.893846153846154,PDPN,0.898461538461538,LPPR5,0.919230769230769,LINGO2,0.920769230769231
16,HOXC5,0.893340936982969,POU3F2,0.897692307692308,NPR3,0.916923076923077,RALYL,0.919230769230769
17,PRMT8,0.893076923076923,SPHKAP,0.897692307692308,FCER2,0.916923076923077,DLGAP1,0.917692307692308
18,HRASLS5,0.891538461538462,ADAM23,0.896923076923077,PROKR2,0.916089570911036,RBM24,0.916923076923077
19,NRTN,0.890769230769231,SEMA6A,0.894615384615385,FZD1,0.913846153846154,LHX2,0.915384615384615
20,PDGFC,0.888461538461539,DSCAM,0.894615384615385,ZFHX4,0.913076923076923,LMX1A,0.915384615384615
21,FBXL7,0.886923076923077,SBSPON,0.893076923076923,DAB1,0.91,INPP5F,0.912307692307692
22,GAP43,0.886923076923077,BARHL2,0.892307692307692,FAM19A4,0.909230769230769,ASTN2,0.912307692307692
23,HOXD4,0.885720887614888,DCDC1,0.891538461538462,SV2C,0.909230769230769,CTTNBP2,0.911538461538462
24,DSP,0.885384615384615,MRAP2,0.891538461538462,GHR,0.908461538461539,PPP1R1A,0.91
25,PCSK1,0.883846153846154,NLGN1,0.89,ARR3,0.907901492610911,TRPC5,0.91
26,HS3ST1,0.883846153846154,TOX3,0.888461538461539,DCT,0.907692307692308,PTPN5,0.91
27,HUNK,0.883076923076923,PAX6,0.886923076923077,SLITRK3,0.904615384615385,FGF12,0.91
28,GXYLT2,0.881538461538462,ALDH1A3,0.884615384615385,CRX,0.903846153846154,ERBB4,0.908461538461539
29,HECW1,0.881538461538462,FGF14,0.883076923076923,ZNF703,0.902307692307692,CHL1,0.907692307692308
30,NKD2,0.881538461538462,NLGN4X,0.882307692307692,GRAMD1B,0.898461538461538,GPR12,0.906923076923077
31,BMP7,0.878461538461539,TMEM98,0.876923076923077,TPRX2P,0.898076192062872,RP11-247C2.2,0.906153846153846
